,amount,categoryName,currCost,productName,salePrice,serialNum,unit
231,0.00,零食,0.0,好邻居巧克力扁桃仁脆硬糖108g,14.0,6927819657925,袋
232,0.00,零食,0.0,好邻居奶贝多三层巧克力心形礼盒102g,23.5,6927819657963,盒
233,0.00,零食,0.0,好邻居奶贝多三层巧克力方形礼盒218g,49.6,6927819657970,盒
234,0.00,零食,0.0,好邻居扁桃仁150g糖,33.5,6927819658212,盒
235,0.00,零食,0.0,绿箭苹果变薄荷40粒,9.5,6923450670965,瓶
236,0.00,零食,0.0,巧贝特巧克力味裹衣夹心饼干（香草牛奶味）,6.0,6953042700138,包
237,0.00,零食,0.0,巧贝特巧克力味裹衣夹心饼干花生酱味,6.0,6953042700152,盒
238,0.00,零食,0.0,巧贝特巧克力味裹衣夹心饼干（草莓味）,6.0,6953042700176,包
239,0.00,零食,0.0,爱时乐威化卷心酥（巧克力味）50g,5.9,6953042700206,包
240,0.00,零食,0.0,爱时乐威化卷心酥 椰香味50g,5.9,6953042700213,盒
241,0.00,零食,0.0,爱时乐威化卷心酥（香草牛奶）50g,5.9,6953042700220,包
242,0.00,零食,0.0,爱时乐威化卷心酥（花生酱）50g,5.9,6953042700237,包
243,0.00,零食,0.0,爱时乐威化卷心酥（芝士味）50g,5.9,6953042700244,包
244,0.00,零食,0.0,爱时乐草莓味威化卷心酥50g,5.9,6953042700398,包
245,0.00,零食,0.0,爱时乐绿茶味威化卷心酥50g,5.9,6953042700404,包
246,0.00,零食,0.0,袋装美国青豌豆（香辣味）138g,6.3,6940188802451,包
247,0.00,零食,0.0,甘源牌缤纷杂锦豆75g,3.5,6940188803984,包
248,0.00,零食,0.0,米老头多谷果子海苔160g,7.5,6934364807248,袋
249,0.00,零食,0.0,米老头多谷果子奶油巧克力160g,7.5,6934364807255,袋
250,0.00,零食,0.0,米老头多谷果子蛋黄160g,7.5,6934364807262,袋
251,0.00,零食,0.0,尚食山药脆片麻辣138g,8.8,6971210810007,袋
252,0.00,零食,0.0,尚食山药脆片孜然138g,8.8,6971210810014,袋
253,0.00,零食,0.0,尚食山药脆片68g麻辣,4.5,6971210810021,袋
254,0.00,零食,0.0,尚食山药脆片68g孜然,4.5,6971210810038,袋
255,0.00,零食,0.0,米老头沙琪玛510g,15.8,6934364814536,袋
256,0.00,零食,0.0,米老头沙琪玛黑糖510g,15.8,6934364814543,袋
257,0.00,零食,0.0,米老头沙琪玛苦荞510g,15.8,6934364814550,袋
258,0.00,零食,0.0,米老头拔丝蛋糕200g,13.8,6934364817001,袋
259,0.00,零食,0.0,米老头红枣蛋糕原味200g,13.8,6934364817018,袋
260,0.00,零食,0.0,米老头玉米酥蛋黄310g,12.8,6934364820124,袋
261,0.00,零食,0.0,米老头玉米酥牛奶310g,12.8,6934364820131,袋
262,0.00,零食,0.0,米老头玉米酥芝士310g,12.8,6934364820162,袋
263,0.00,零食,0.0,酷滋草莓味52g,12.0,6931925828100,盒
264,0.00,零食,0.0,酷滋柠檬52g,12.0,6931925828117,盒
265,0.00,零食,0.0,酷滋薄荷52g,12.0,6931925828124,盒
266,0.00,零食,0.0,米老头小丸煎饼芝麻280g,13.9,6934364830512,袋
267,0.00,零食,0.0,米老头小丸煎饼蛋奶味280g,13.9,6934364830529,袋
268,0.00,零食,0.0,酷滋水蜜桃52g,12.0,6931925871007,盒
269,0.00,零食,0.0,盐津杨梅100g,6.5,6926104922380,盒
270,0.00,零食,0.0,盐津桃肉80g,6.5,6926104922472,盒
271,0.00,零食,0.0,盐津鱼豆腐辣62g,5.2,6926104930903,袋
272,0.00,零食,0.0,盐津鱼豆腐烧烤62g,5.2,6926104930910,袋
273,0.00,零食,0.0,盐津素肉香辣味62g,5.2,6926104930934,袋
274,0.00,零食,0.0,盐津素肉孜然62g,5.2,6926104930958,袋
275,0.00,零食,0.0,盐津豌豆原味108g,6.5,6926104931900,袋
276,0.00,零食,0.0,盐津豌豆香辣108g,6.5,6926104931917,袋
277,0.00,零食,0.0,盐津蟹黄豆瓣108g,6.5,6926104931924,袋
278,0.00,零食,0.0,盐津蟹黄瓜子仁108g,5.2,6926104931931,袋
279,0.00,零食,0.0,盐津牛肉豆瓣108g,5.2,6926104931986,袋
280,0.00,零食,0.0,盐津牛肉瓜子仁108g,6.5,6926104931993,袋
281,0.00,饮料,0.0,雀巢咖啡香滑即饮罐装180ml,3.8,6917878027333,罐
282,0.00,饮料,0.0,雀巢香浓咖啡罐装180ml,3.8,6917878039534,罐
283,0.00,饮料,0.0,雀巢咖啡原味30条装,41.9,6917878044859,盒
284,0.00,饮料,0.0,雀巢串咖啡,1.5,6917878045115,袋
285,0.00,饮料,0.0,可可蜂蜜水饮料330ml,13.0,6970724188886,瓶
286,0.00,饮料,0.0,科布金啤500ml,9.0,4052839435184,罐
287,0.00,饮料,0.0,科布黑啤500ml,9.0,4052839435382,罐
288,0.00,饮料,0.0,穆乐啤酒500ml,8.5,8436537522159,罐
289,0.00,饮料,0.0,仁济堂椰汁1.25L,12.0,6922410600363,瓶
290,0.00,饮料,0.0,仁济堂鲜榨椰子汁245ml,4.0,6922410600370,罐
291,0.00,饮料,0.0,仁济堂鲜榨椰子汁500ml,5.0,6922410600356,罐
292,0.00,饮料,0.0,青岛9度啤酒330ml,4.5,6901035604895,瓶
293,0.00,饮料,0.0,可比可意式拿铁咖啡12杯装,25.0,6953042700015,杯
294,0.00,饮料,0.0,可比可意式卡布奇诺咖啡5杯装,12.8,6953042700046,杯
295,0.00,饮料,0.0,可比可意式卡布奇诺咖啡12杯装,25.0,6953042700053,杯
296,0.00,饮料,0.0,可比可意式卡布奇诺咖啡24杯装,53.0,6953042700060,盒
297,0.00,饮料,0.0,可比可意式摩卡咖啡5杯装,12.8,6953042700084,杯
298,0.00,饮料,0.0,可比可意式摩卡咖啡12杯装,25.0,6953042700091,杯
299,0.00,饮料,0.0,可比可意式摩卡咖啡24杯装,53.0,6953042700107,杯
300,0.00,饮料,0.0,280ML猕猴桃,4.0,6942401800039,瓶
301,0.00,饮料,0.0,280ML桑椹,4.0,6942401800077,瓶
302,0.00,饮料,0.0,500ML猕猴桃,5.0,6939354800469,瓶
303,0.00,饮料,0.0,500ML苹果,5.0,6939354800483,瓶
304,0.00,饮料,0.0,500ML桑椹,5.0,6939354800520,瓶
305,0.00,饮料,0.0,280ML桃汁,4.0,6939354800803,瓶
306,0.00,饮料,0.0,418猕猴桃汁,5.0,6939354801268,瓶
