,importAmount,importPrice,postSaleAmount,postSalePrice,preSaleAmount,preSaleCost,preSalePrice,saleAmount,salePrice,serialNum
251,0,0.00,16,288.00,20,18.00,360.00,4,72.00,6928710600072
252,24,360.00,30,450.00,6,15.00,90.00,0,0.00,6928710602052
253,0,0.00,1,3.50,1,3.50,3.50,0,0.00,6974919372234
254,0,0.00,60,2220.00,60,37.00,2220.00,0,0.00,6928710609082
255,0,0.00,504,26208.00,504,52.00,26208.00,0,0.00,6928710601925
257,0,0.00,49,539.00,57,11.00,627.00,8,88.00,6928710600331
258,0,0.00,18,162.00,19,9.00,171.00,1,9.00,6928710660175
259,0,0.00,23,184.00,23,8.00,184.00,0,0.00,6928710600317
260,0,0.00,15,135.00,15,9.00,135.00,0,0.00,6928710660182
261,0,0.00,201,1809.00,201,9.00,1809.00,0,0.00,6928710601017
262,0,0.00,26,161.20,27,6.20,167.40,1,6.20,6928710601284
263,0,0.00,587,10566.00,591,18.00,10638.00,4,72.00,6928710600621
264,0,0.00,15,103.50,15,6.90,103.50,0,0.00,6928710600805
265,0,0.00,26,520.00,32,20.00,640.00,6,120.00,6928710600560
266,0,0.00,33,660.00,49,20.00,980.00,16,320.00,6928710600614
267,0,0.00,14,168.00,17,12.00,204.00,3,36.00,6928710601147
277,20,250.00,40,500.00,22,12.50,275.00,2,25.00,6928710600584
278,0,0.00,38,475.00,38,12.50,475.00,0,0.00,6928710600546
279,0,0.00,16,160.00,16,10.00,160.00,0,0.00,6928710601734
280,0,0.00,6,180.00,6,30.00,180.00,0,0.00,6928710609211
281,0,0.00,26,455.00,31,17.50,542.50,5,87.50,6928710600577
282,0,0.00,17,442.00,17,26.00,442.00,0,0.00,6928710602151
283,30,345.00,43,494.50,13,11.50,149.50,0,0.00,6928710601352
284,0,0.00,33,594.00,50,18.00,900.00,17,306.00,6928710600553
285,0,0.00,234,2574.00,234,11.00,2574.00,0,0.00,6928710600591
286,0,0.00,58,1044.00,58,18.00,1044.00,0,0.00,6928710660496
287,20,140.00,34,238.00,14,7.00,98.00,0,0.00,6928710600713
288,0,0.00,16,88.00,18,5.50,99.00,2,11.00,6928710601406
291,0,0.00,272,408.00,318,1.50,477.00,46,69.00,6917790975323
292,0,0.00,25,112.50,29,4.50,130.50,4,18.00,6935616500016
293,0,0.00,38,133.00,41,3.50,143.50,3,10.50,6915993301895
294,0,0.00,61,73.20,85,1.20,102.00,24,28.80,6915993303363
295,0,0.00,25,30.00,36,1.20,43.20,11,13.20,6915993302229
296,0,0.00,59,70.80,78,1.20,93.60,19,22.80,6915993303028
297,0,0.00,15,165.00,18,11.00,198.00,3,33.00,6915993304650
298,0,0.00,30,129.00,32,4.30,137.60,2,8.60,6925714800569
299,0,0.00,33,165.00,34,5.00,170.00,1,5.00,6911567886096
300,0,0.00,2,18.00,2,9.00,18.00,0,0.00,6902534238499
301,0,0.00,19,169.10,20,8.90,178.00,1,8.90,6902534238338
302,0,0.00,34,187.00,36,5.50,198.00,2,11.00,6920319827799
303,0,0.00,15,270.00,18,18.00,324.00,3,54.00,6930305500049
304,0,0.00,28,322.00,36,11.50,414.00,8,92.00,6942032700050
305,0,0.00,0,0.00,6,4.50,27.00,6,27.00,6955381400700
306,0,0.00,23,103.50,28,4.50,126.00,5,22.50,6955381400601
316,0,0.00,0,0.00,5,12.70,63.50,5,63.50,6942032700098
317,0,0.00,69,876.30,81,12.70,1028.70,12,152.40,6942032700029
