,refundAmount,refundPrice,saleAmount,salePrice,serialNum
315,0,0.00,9.00,178.20,6970228680121
316,0,0.00,9.00,216.00,8850161230264
317,0,0.00,2.00,21.00,4713507019135
318,0,0.00,6.00,63.00,4713507011535
319,0,0.00,6.00,63.00,4713507019128
320,0,0.00,8.00,84.00,4713507011528
321,0,0.00,1.00,6.00,6973497200199
322,0,0.00,5.00,30.00,6973497200212
323,0,0.00,9.00,151.20,6973497200045
324,0,0.00,2.00,33.60,6973497200052
325,0,0.00,10.00,65.00,6973497200311
326,0,0.00,10.00,65.00,6973497200328
327,0,0.00,6.00,39.00,6973497200298
328,0,0.00,6.00,239.40,6971284200063
329,0,0.00,5.00,65.00,6942032700050
330,0,0.00,4.00,159.60,6971284200049
331,0,0.00,27.00,175.50,6955381400700
332,0,0.00,12.00,78.00,6955381400601
333,0,0.00,4.00,159.60,6971284200001
334,0,0.00,5.00,79.50,6942032700098
335,0,0.00,2.00,31.80,6942032700029
336,0,0.00,13.00,169.00,6942032700067
337,0,0.00,2.00,69.80,6971284200087
346,0,0.00,6.00,45.00,6941541006349
347,0,0.00,1.00,5.90,6941541002068
348,0,0.00,1.00,5.90,6941541002099
349,0,0.00,12.00,90.00,6941541005236
350,0,0.00,2.00,11.80,6941541002129
351,0,0.00,1.00,5.90,6941541005175
352,0,0.00,1.00,7.50,6941541002655
353,0,0.00,1.00,10.90,6902265210504
354,0,0.00,10.00,59.00,6902265540250
355,0,0.00,1.00,12.00,6902265440291
356,0,0.00,1.00,10.50,6902265107057
357,0,0.00,5.00,32.50,6902265470236
358,0,0.00,6.00,93.00,6902265590712
359,0,0.00,3.00,25.50,6902265240501
360,0,0.00,7.00,55.30,6902265360018
361,0,0.00,1.00,14.20,6902265114369
362,0,0.00,2.00,22.00,6902265114321
363,0,0.00,6.00,59.40,6902265114888
364,0,0.00,5.00,55.00,6902265114345
365,0,0.00,7.00,80.50,6902265150015
366,0,0.00,9.00,76.50,6902265170501
367,0,0.00,8.00,54.40,6902265115496
368,0,0.00,1.00,10.50,6902265111719
369,0,0.00,2.00,36.00,6920732113196
370,0,0.00,2.00,36.00,6920732115237
371,0,0.00,4.00,72.00,6920732113165
372,0,0.00,7.00,126.00,6920732115244
373,0,0.00,5.00,145.00,6920732131244
374,0,0.00,4.00,72.00,6920732113103
375,0,0.00,44.00,79.20,6926198012233
384,0,0.00,1.00,61.00,6971194100019
385,0,0.00,2.00,23.80,6954665300330
386,0,0.00,1.00,8.80,6971501250505
387,0,0.00,1.00,8.80,6971501250048
388,0,0.00,14.00,826.00,6947689112454
389,0,0.00,5.00,115.00,6947689112102
390,0,0.00,5.00,390.00,6970567819022
391,0,0.00,18.00,81.00,6920907808278
392,0,0.00,10.00,45.00,6920907808179
393,0,0.00,32.00,220.80,6920907816075
394,0,0.00,39.00,206.70,6920907816044
395,0,0.00,4.00,34.00,6920907809909
396,-1,-8.50,10.00,85.00,6920907809886
397,0,0.00,7.00,59.50,6920907809862
398,0,0.00,2.00,43.00,6920907801347
399,0,0.00,26.00,122.20,6920143500509
400,0,0.00,9.00,106.20,6936749501116
401,0,0.00,7.00,81.20,6947769900766
402,0,0.00,6.00,64.80,6947769901008
403,0,0.00,5.00,490.00,6957890900335
404,0,0.00,11.00,286.00,1008861919351329
405,0,0.00,2.00,71.60,2010314031598
406,0,0.00,2.00,35.60,1008861919350384
407,0,0.00,2.00,25.00,6921956645586
408,0,0.00,5.00,62.50,6921956645593
409,0,0.00,1.00,58.80,6954808607234
410,0,0.00,5.00,425.00,6920771613787
411,0,0.00,2.00,26.00,6920771617785
412,0,0.00,4.00,34.00,6902007115180
413,0,0.00,6.00,84.00,6933453800078
422,0,0.00,4.00,1032.00,6974622050009
423,0,0.00,4.00,66.00,6957666000667
424,0,0.00,2.00,33.00,6957666000681
425,0,0.00,1.00,14.50,6936001302925
426,0,0.00,2.00,24.00,4897045427802
427,0,0.00,2.00,24.00,4897045427772
428,0,0.00,18.00,302.40,1008862021070018
429,0,0.00,8.00,456.00,6916323200628
430,0,0.00,2.00,56.00,4897031353603
431,0,0.00,8.00,292.00,4897031352385
432,0,0.00,1.00,50.00,4897031350015
433,0,0.00,4.00,112.00,4897031353597
434,0,0.00,6.00,219.00,4897031352422
435,0,0.00,4.00,112.00,4897031353610
436,0,0.00,5.00,182.50,4897031352477
437,0,0.00,3.00,53.40,1008861919350261
438,0,0.00,16.00,148.80,6901715291247
439,0,0.00,9.00,126.00,6901715292527
440,0,0.00,2.00,8.60,6901715292541
441,0,0.00,22.00,319.00,6970339117554
442,0,0.00,88.00,352.00,6970339116373
443,0,0.00,15.00,975.00,6970339116151
444,0,0.00,11.00,82.50,6970339117646
445,0,0.00,140.00,630.00,6970339117097
446,0,0.00,9.00,67.50,6970339117653
447,0,0.00,112.00,492.80,6970339117844
448,0,0.00,116.00,522.00,6970339116137
449,0,0.00,172.00,774.00,6970339116144
450,0,0.00,176.00,792.00,6970339116120
451,0,0.00,3.00,165.00,6970339117486
460,0,0.00,6.00,45.00,6970339117639
461,0,0.00,138.00,552.00,6970339117233
462,0,0.00,6.00,117.00,6970339116557
463,0,0.00,6.00,36.00,6973782440347
464,0,0.00,9.00,54.00,6973782440101
465,0,0.00,5.00,30.00,6973782440125
466,0,0.00,4.00,51.20,8996001303740
467,0,0.00,6.00,234.00,6972251252245
468,0,0.00,1.00,36.90,6972251252733
469,0,0.00,1.00,6.90,6972537684784
470,0,0.00,10.00,69.00,6972537681233
