productId,amount,salePrice
601758,1,53.0
601765,2,159.8
601772,1,79.9
601925,1,64.8
602381,1,12.9
602967,2,172.0
604230,6,219.0
605138,2,16.0
605176,1,8.0
605797,3,107.39999999999999
606569,1,38.0
606606,4,178.8
607234,1,58.8
608894,1,6.3
609082,1,49.0
609174,1,9.9
609204,1,66.5
609211,1,39.9
609228,3,59.699999999999996
609518,1,15.0
609532,1,63.0
609549,1,38.0
609556,2,26.0
609563,3,78.0
609594,2,64.0
610002,1,10.8
610086,1,29.8
611267,1,19.5
611281,1,19.5
612012,5,29.0
613787,2,170.0
616554,17,2718.3
617183,1,8.5
622304,4,26.0
622724,12,66.0
623370,36,198.0
623530,12,66.0
634306,1,16.3
643081,2,34.0
644293,5,97.5
644392,1,16.0
644613,1,16.0
644705,1,19.5
645586,1,12.5
650323,1,18.2
651086,3,28.5
655388,1,15.8
655395,2,31.6
656150,2,25.0
656181,4,50.0
657638,2,25.0
657935,6,75.0
659530,4,48.0
660052,2,31.4
660069,2,129.8
660496,1,24.0
660530,1,15.5
660677,23,115.0
660810,3,58.5
660827,1,19.5
660905,32,160.0
660929,3,15.0
661254,1,4.8
662817,3,68.4
663517,1,25.8
663524,1,25.0
670213,5,89.5
670237,7,125.29999999999998
670244,2,35.8
680121,3,59.400000000000006
688579,1,14.3
694292,3,57.0
694315,1,16.0
700018,2,25.6
700067,2,26.0
700098,1,15.9
700184,1,11.0
700526,1,3.0
700533,2,6.0
700757,1,10.5
701504,75,1462.5
710336,3,119.69999999999999
710534,1,39.9
710763,2,79.8
714429,2,23.6
714436,2,23.6
720002,4,31.6
720019,4,31.6
720132,1,7.9
730051,1,15.2
730132,1,3.0
730574,4,17.2
732577,4,51.2
750009,3,60.0
758319,2,11.8
770023,2,25.0
775640,2,56.4
780034,4,239.2
782460,2,11.4
788735,1,11.5
799882,1,28.2
799967,2,56.4
800338,8,492.0
800440,1,21.0
800499,4,160.0
800638,2,25.6
801048,3,4.5
801347,2,43.0
802204,1,7.8
805267,1,12.8
805487,2,45.32
805531,1,22.6
805548,1,22.6
806455,5,74.0
808179,3,13.5
808278,5,22.5
808537,4,23.6
808575,4,23.6
808612,4,23.6
809015,14,207.20000000000007
809862,2,17.0
809886,2,17.0
809909,2,17.0
810067,1,21.0
812216,5,120.0
816075,1,6.9
816122,28,3049.2000000000003
819022,1,78.0
820010,1,37.0
820087,4,131.2
820094,2,65.6
820148,1,10.8
820643,4,59.2
820650,3,44.400000000000006
820810,1,9.9
821027,3,44.7
821688,1,10.5
821701,2,21.0
821989,5,79.5
822222,7,257.59999999999997
823903,2,15.0
824608,8,70.4
824959,3,37.5
828883,1,148.0
834264,1,12.0
837876,7,130.2
838899,1,86.5
839832,2,69.0
840286,12,54.0
840330,24,108.0
851160,2,17.8
860221,8,136.0
860467,6,102.0
870893,7,129.5
875333,2,72.0
876576,2,85.8
880390,2,29.8
880696,1,32.0
882546,1,44.0
888885,6,23.4
888908,1,3.9
889453,4,75.6
889460,3,56.699999999999996
890965,3,71.4
890972,3,71.4
891448,3,57.0
891547,4,76.0
892310,4,71.2
892365,2,30.0
892372,1,15.0
893475,1,52.0
894598,2,39.0
894604,1,19.5
895465,1,27.9
900204,2,35.0
900333,5,450.0
900335,5,490.0
900415,3,162.0
900422,1,48.6
900525,1,37.4
900766,2,23.2
900770,1,10.9
900787,2,19.0
901008,1,10.8
901038,2,219.0
902405,7,567.0
903242,1,144.0
905164,2,6.0
909844,1,14.0
910050,3,130.5
911668,1,11.7
914988,2,25.6
915084,2,25.6
915121,5,64.0
916555,1,12.8
919337,10,880.0
920178,10,329.0
920415,17,85.0
920439,3,15.0
921092,5,31.5
922341,1,6.5
922365,47,305.5
922518,26,169.0
923096,6,30.0
924268,4,199.6
927247,35,220.5
933003,1,27.0
936039,14,658.0
937032,3,75.0
937043,1,56.0
938008,1,27.0
942313,1,93.0
950052,55,137.5
963226,2,30.0
970055,12,118.8
970086,13,128.7
971107,2,27.6
975323,2,3.8
979121,5,124.0
979222,1,17.8
980196,1,30.0
981951,1,13.5
983511,1,15.0
983528,1,15.0
999005,2,172.0
