,importPrice,serialNum,sumAmount,sumTotal,supplier,unit
242,14.50,653314503493,5.00,89.00,西安丰泰永泽商贸有限公司,袋
243,6.00,6972535520886,7.00,54.60,西安丰泰永泽商贸有限公司,袋
244,6.00,6972535520893,6.00,46.80,西安丰泰永泽商贸有限公司,袋
245,15.00,6972933561467,5.00,97.50,西安丰泰永泽商贸有限公司,袋
246,7.00,6972933562051,10.00,90.00,西安丰泰永泽商贸有限公司,盒
247,8.50,6972933562761,9.00,103.50,西安丰泰永泽商贸有限公司,袋
248,8.00,6972933562884,4.00,43.20,西安丰泰永泽商贸有限公司,盒
249,8.00,6972933562891,1.00,10.80,西安丰泰永泽商贸有限公司,盒
250,14.00,6972933563706,2.00,39.00,西安丰泰永泽商贸有限公司,盒
251,9.20,6972933565540,1.00,12.50,西安丰泰永泽商贸有限公司,袋
252,9.20,6972933565557,1.00,12.50,西安丰泰永泽商贸有限公司,袋
253,9.40,6972933566035,4.00,52.00,西安丰泰永泽商贸有限公司,袋
254,7.80,6972933566080,3.00,31.50,西安丰泰永泽商贸有限公司,袋
255,14.00,6972933566226,3.00,57.00,西安丰泰永泽商贸有限公司,袋
256,8.00,6972698570216,4.00,39.60,西安丰泰永泽商贸有限公司,盒
257,27.50,6947705608107,2.00,71.60,西安丰泰永泽商贸有限公司,袋
258,9.50,9555118659530,1.00,12.00,西安丰泰永泽商贸有限公司,袋
259,12.00,6913405660530,1.00,15.50,西安丰泰永泽商贸有限公司,袋
260,15.00,6975048660810,2.00,39.00,西安丰泰永泽商贸有限公司,袋
261,24.00,6975048660834,8.00,236.00,西安丰泰永泽商贸有限公司,袋
262,20.00,6913405663517,1.00,25.80,西安丰泰永泽商贸有限公司,袋
263,20.00,6913405663524,4.00,100.00,西安丰泰永泽商贸有限公司,袋
264,27.00,6913405670317,1.00,33.80,西安丰泰永泽商贸有限公司,袋
265,9.00,6941025701968,3.00,37.50,西安丰泰永泽商贸有限公司,袋
266,9.00,6941025701975,2.00,25.00,西安丰泰永泽商贸有限公司,袋
267,9.00,6941025701999,4.00,50.00,西安丰泰永泽商贸有限公司,袋
268,12.00,6913405760681,1.00,15.60,西安丰泰永泽商贸有限公司,袋
269,22.00,6939730799967,1.00,28.20,西安丰泰永泽商贸有限公司,袋
270,26.50,6973968810063,3.00,102.00,西安丰泰永泽商贸有限公司,袋
271,13.00,6973968810094,3.00,51.00,西安丰泰永泽商贸有限公司,盒
272,13.00,6973968810988,2.00,34.00,西安丰泰永泽商贸有限公司,盒
273,17.00,6904432813037,1.00,22.00,西安丰泰永泽商贸有限公司,袋
274,11.50,4897119860825,3.00,45.00,西安丰泰永泽商贸有限公司,袋
275,11.50,4897119860832,2.00,30.00,西安丰泰永泽商贸有限公司,袋
276,14.50,6971657870343,1.00,18.50,西安丰泰永泽商贸有限公司,袋
277,14.50,6971657870503,6.00,111.00,西安丰泰永泽商贸有限公司,袋
278,14.50,6971657870893,3.00,55.50,西安丰泰永泽商贸有限公司,袋
279,18.00,4897038890965,2.00,47.60,西安丰泰永泽商贸有限公司,盒
280,18.00,4897038890972,3.00,71.40,西安丰泰永泽商贸有限公司,盒
281,14.00,4897038892327,2.00,35.60,西安丰泰永泽商贸有限公司,袋
282,12.00,4897038892372,1.00,15.00,西安丰泰永泽商贸有限公司,袋
283,8.50,4897038892754,4.00,46.00,西安丰泰永泽商贸有限公司,袋
284,8.50,4897038892761,4.00,46.00,西安丰泰永泽商贸有限公司,袋
285,8.50,4897038893362,5.00,57.50,西安丰泰永泽商贸有限公司,袋
286,8.50,4897038893379,4.00,46.00,西安丰泰永泽商贸有限公司,袋
287,7.00,4897038895809,5.00,47.50,西安丰泰永泽商贸有限公司,袋
288,7.00,4897038895816,3.00,28.50,西安丰泰永泽商贸有限公司,袋
289,14.50,4897038896264,3.00,57.00,西安丰泰永泽商贸有限公司,盒
290,14.50,4897038896271,6.00,114.00,西安丰泰永泽商贸有限公司,盒
291,14.50,4897038896288,2.00,38.00,西安丰泰永泽商贸有限公司,盒
292,10.00,6937439914988,4.00,51.20,西安丰泰永泽商贸有限公司,袋
293,10.00,6937439915251,11.00,140.80,西安丰泰永泽商贸有限公司,袋
294,10.80,6975840950034,1.00,15.00,西安丰泰永泽商贸有限公司,袋
295,10.80,6975840950041,3.00,45.00,西安丰泰永泽商贸有限公司,袋
296,10.80,6975840950058,2.00,30.00,西安丰泰永泽商贸有限公司,袋
297,23.50,6975840950065,1.00,31.80,西安丰泰永泽商贸有限公司,袋
298,12.00,6975840950089,1.00,16.00,西安丰泰永泽商贸有限公司,袋
299,12.00,6975840950096,1.00,16.00,西安丰泰永泽商贸有限公司,袋
300,24.00,6901333980196,1.00,30.00,西安丰泰永泽商贸有限公司,袋
302,14.50,6905014000876,6.00,111.00,西安丰泰永泽商贸有限公司,袋
303,25.00,6905014081288,3.00,84.00,西安丰泰永泽商贸有限公司,袋
304,23.00,6901333110524,3.00,80.40,西安丰泰永泽商贸有限公司,袋
305,35.00,6905014301263,1.00,43.20,西安丰泰永泽商贸有限公司,袋
306,35.00,6905014301270,4.00,172.80,西安丰泰永泽商贸有限公司,盒
307,35.00,6905014301287,5.00,216.00,西安丰泰永泽商贸有限公司,袋
308,16.00,6931500340706,1.00,20.50,西安丰泰永泽商贸有限公司,袋
309,16.00,6931500340904,5.00,102.50,西安丰泰永泽商贸有限公司,袋
310,16.00,6931500341000,2.00,41.00,西安丰泰永泽商贸有限公司,袋
311,16.00,6945309351917,2.00,39.60,西安丰泰永泽商贸有限公司,袋
312,16.00,6970228680121,5.00,99.00,西安丰泰永泽商贸有限公司,袋
313,15.00,6904555694292,2.00,38.00,西安丰泰永泽商贸有限公司,盒
315,14.00,6973669041100,4.00,70.00,西安丰泰永泽商贸有限公司,袋
316,230.00,6974622050009,2.00,516.00,西安丰泰永泽商贸有限公司,袋
317,87.00,6974622051433,4.00,396.00,西安丰泰永泽商贸有限公司,盒
318,32.00,6948431109968,11.00,429.00,西安丰泰永泽商贸有限公司,袋
319,15.00,6949884200547,2.00,37.60,西安丰泰永泽商贸有限公司,袋
320,41.50,0101020211012,6.00,288.00,西安丰泰永泽商贸有限公司,袋
321,32.00,6972251252245,7.00,273.00,西安丰泰永泽商贸有限公司,袋
322,135.00,6970525356309,2.00,316.00,西安丰泰永泽商贸有限公司,袋
323,60.00,6970525358211,4.00,279.20,西安丰泰永泽商贸有限公司,盒
324,120.00,6970525359362,4.00,552.00,西安丰泰永泽商贸有限公司,袋
325,43.00,6970525359997,5.00,249.00,西安丰泰永泽商贸有限公司,袋
326,42.80,6959540361321,3.00,149.70,西安丰泰永泽商贸有限公司,袋
327,32.00,6940747410813,6.00,234.00,西安丰泰永泽商贸有限公司,袋
328,32.00,6940747410912,8.00,312.00,西安丰泰永泽商贸有限公司,袋
329,18.00,6940747414910,3.00,67.50,西安丰泰永泽商贸有限公司,袋
330,15.00,6940747415115,1.00,19.00,西安丰泰永泽商贸有限公司,袋
331,99.00,6975471520019,11.00,"1,419.00",西安丰泰永泽商贸有限公司,袋
332,33.00,6954808610302,3.00,127.80,西安丰泰永泽商贸有限公司,袋
