,countingAmount,diffAmount,diffPrice,serialNum,stockAmount
271,4,0,4.0,6970339117844,4
272,1,0,1.0,6922130118483,1
273,12,0,12.0,6941499119399,12
274,36,0,36.0,6970373120350,36
275,36,0,36.0,6970373120695,36
276,31,0,31.0,6941499122627,31
277,25,0,25.0,6970373125041,25
278,4,0,4.0,6911569126398,4
279,4,0,4.0,6911569126411,4
280,31,0,31.0,6970373127564,31
281,7,0,7.0,6902131130011,7
282,88,0,88.0,6974613130055,88
283,8,0,8.0,6974613130062,8
284,48,0,48.0,6974613130086,48
285,41,0,41.0,6974613130109,41
286,18,0,18.0,6974613130314,18
287,12,0,12.0,6974613130383,12
288,4,0,4.0,6920732131244,4
289,138,0,138.0,6971992140019,138
290,5,0,5.0,8935024140147,5
291,1,0,1.0,6911569140158,1
292,18,0,18.0,8935024141342,18
293,19,0,19.0,8935024141847,19
294,17,0,17.0,6911569143364,17
295,2,0,2.0,6911569145061,2
296,20,0,20.0,8935024149669,20
297,101,0,101.0,8854761150113,101
298,22,0,22.0,6972914150314,22
307,3,0,3.0,6972914150321,3
308,19,0,19.0,6972914150758,19
309,20,0,20.0,6972914150765,20
310,12,0,12.0,6972914150772,12
311,7,0,7.0,6972914150789,7
312,3,0,3.0,6970695160089,3
313,6,0,6.0,6924116170010,6
314,1,0,1.0,6924116170089,1
315,141,0,141.0,8854761170111,141
316,4,0,4.0,6902265170501,4
317,15,0,15.0,6916323180104,15
318,14,0,14.0,6916323180111,14
319,8,0,8.0,6916323180128,8
320,2,0,2.0,6901306180714,2
321,6,0,6.0,6923976181266,6
322,68,0,68.0,6905014186839,68
323,46,0,46.0,6901808188881,46
324,2,0,2.0,6971284200001,2
325,26,0,26.0,6975287200037,26
326,226,0,226.0,6973497200045,226
327,6,0,6.0,6971284200049,6
328,273,0,273.0,6973497200052,273
329,13,0,13.0,6971284200063,13
330,24,0,24.0,6971284200087,24
331,207,0,207.0,6973497200199,207
332,144,0,144.0,6973497200205,144
333,12,0,12.0,6973497200212,12
334,9,0,9.0,6975287200266,9
335,36,0,36.0,6911569200289,36
336,16,0,16.0,6973497200298,16
345,152,0,152.0,6973497200311,152
346,86,0,86.0,6973497200328,86
347,26,0,26.0,6975287200358,26
348,41,0,41.0,6975287200365,41
349,5,0,5.0,6916323200413,5
350,5,0,5.0,6916323200611,5
351,2,0,2.0,6954003200612,2
352,10,0,10.0,6916323200628,10
353,25,0,25.0,6914973200685,25
354,1,0,1.0,6975287200747,1
355,2,0,2.0,8809022200885,2
356,13,0,13.0,6954003201107,13
357,13,0,13.0,6954003201305,13
358,9,0,9.0,6954003201312,9
359,8,0,8.0,6926507201594,8
360,6,0,6.0,9315090201758,6
361,29,0,29.0,5410081201848,29
362,16,0,16.0,6926507201945,16
363,48,0,48.0,6924640202225,48
364,16,0,16.0,6926507202300,16
365,41,0,41.0,6926507202379,41
366,9,0,9.0,6926507202423,9
367,3,0,3.0,6911569202573,3
368,34,0,34.0,6926507202591,34
369,271,0,271.0,6926507202836,271
370,19,0,19.0,6926507203116,19
371,12,0,12.0,6932583203438,12
372,40,0,40.0,6926507204991,40
373,19,0,19.0,6914973206106,19
374,3,0,3.0,5410081206201,3
383,15,0,15.0,6956416206328,15
384,11,0,11.0,6932583206590,11
385,240,0,240.0,6956416206991,240
386,28,0,28.0,6957335207168,28
387,555,0,555.0,6956416208124,555
388,510,0,510.0,6956416208148,510
389,8,0,8.0,6920180209601,8
390,4,0,4.0,6923555210455,4
391,26,0,26.0,6923555210462,26
392,16,0,16.0,6923555210479,16
393,10,0,10.0,6902265210504,10
394,1,0,1.0,9315090210507,1
395,665,0,665.0,0101020211011,665
396,920,0,920.0,0101020211012,920
397,760,0,760.0,0101020211013,760
398,508,0,508.0,0101020211015,508
399,393,0,393.0,0101020211016,393
400,521,0,521.0,0101020211017,521
401,7,0,7.0,6901333212112,7
402,40,0,40.0,6923555212749,40
403,45,0,45.0,6956405213610,45
404,20,0,20.0,6957335216016,20
405,1,0,1.0,9556023220921,1
406,3,0,3.0,9556023220945,3
407,2,0,2.0,9556023220952,2
408,10,0,10.0,9556023220969,10
409,188,0,188.0,6972605230059,188
410,183,0,183.0,6972605230073,183
411,58,0,58.0,6974878230101,58
412,2,0,2.0,6972863230105,2
421,36,0,36.0,6972863230136,36
422,18,0,18.0,6972605230189,18
423,3,0,3.0,6972863230259,3
424,6,0,6.0,8850161230264,6
425,120,0,120.0,6972605230370,120
426,46,0,46.0,6923644232658,46
427,23,0,23.0,6902534238338,23
428,15,0,15.0,6902534238499,15
429,85,0,85.0,8854761240111,85
430,9,0,9.0,6902265240501,9
431,61,0,61.0,6971654248015,61
432,435,0,435.0,6971654248091,435
433,38,0,38.0,6971501250048,38
434,12,0,12.0,6971501250505,12
435,10,0,10.0,6371251251,10
436,3,0,3.0,6371251252,3
437,2,0,2.0,6371251253,2
438,1,0,1.0,6371251254,1
439,14,0,14.0,6972251252245,14
440,19,0,19.0,6972251252436,19
441,5,0,5.0,6972251252733,5
442,1,0,1.0,6972251252856,1
443,12,0,12.0,4260290260027,12
444,9,0,9.0,4260290260034,9
445,3,0,3.0,4260290260041,3
446,92,0,92.0,6934126261899,92
447,9,0,9.0,4260290262267,9
448,14,0,14.0,4260290262274,14
449,230,0,230.0,6934126262346,230
450,645,0,645.0,6934126262933,645
459,3,0,3.0,4260290263042,3
460,7,0,7.0,4260290264636,7
461,6,0,6.0,4260290265190,6
462,3,0,3.0,4260290265206,3
463,45,0,45.0,6923644266318,45
464,1,0,1.0,6970870270015,1
465,25,0,25.0,4897095270021,25
466,13,0,13.0,4897095270052,13
467,3,0,3.0,6970870270152,3
468,4,0,4.0,6970870270213,4
469,33,0,33.0,6970870270534,33
470,1,0,1.0,6970870270657,1
471,8,0,8.0,6970870270671,8
472,24,0,24.0,6970870270947,24
473,3,0,3.0,6970870270961,3
474,10,0,10.0,6921774271547,10
475,59,0,59.0,6921774271622,59
476,17,0,17.0,6923644284947,17
477,13,0,13.0,6921774286305,13
478,16,0,16.0,6901715291247,16
479,32,0,32.0,6901715292527,32
480,1,0,1.0,6901715292541,1
481,36,0,36.0,6923644295844,36
482,16,0,16.0,6923644297251,16
483,9,0,9.0,6923644299804,9
484,6,0,6.0,6926507299881,6
486,67,0,67.0,6942046300017,67
487,7,0,7.0,6942046300055,7
488,7,0,7.0,6954665300330,7
497,23,0,23.0,6959479300422,23
498,13,0,13.0,6959479300439,13
499,4,0,4.0,6971426300477,4
500,7,0,7.0,6971426300491,7
501,5,0,5.0,6922665300780,5
502,6,0,6.0,6914973300828,6
503,11,0,11.0,6905014301263,11
504,16,0,16.0,6905014301270,16
505,15,0,15.0,6905014301287,15
506,1,0,1.0,6915993301895,1
507,41,0,41.0,9588552302854,41
508,28,0,28.0,9588552302861,28
509,14,0,14.0,6936001302925,14
510,4,0,4.0,6915993303028,4
511,25,0,25.0,8996001303740,25
512,17,0,17.0,8996001303832,17
513,30,0,30.0,9588552305312,30
514,72,0,72.0,9588552305725,72
515,5,0,5.0,8809069306489,5
516,30,0,30.0,6935498309561,30
517,3,0,3.0,6937191310844,3
518,14,0,14.0,6970037311148,14
519,13,0,13.0,6970037311247,13
520,72,0,72.0,6952675311315,72
521,6,0,6.0,6970037311421,6
522,15,0,15.0,6971885311830,15
523,6,0,6.0,6971885311892,6
524,240,0,240.0,9588552312259,240
525,84,0,84.0,9588552312266,84
526,1,0,1.0,9588552312273,1
535,8,0,8.0,9588552312280,8
536,27,0,27.0,6910160312377,27
537,31,0,31.0,6970037312640,31
538,1,0,1.0,6970037313272,1
539,168,0,168.0,9588552313980,168
540,1,0,1.0,9588552314123,1
541,5,0,5.0,9588552315670,5
542,63,0,63.0,9588552319661,63
543,59,0,59.0,6952675319915,59
544,43,0,43.0,6926410320214,43
545,87,0,87.0,6970480320292,87
546,193,0,193.0,9588552320360,193
547,59,0,59.0,6926410321501,59
548,2,0,2.0,9588552322296,2
549,7,0,7.0,9588552322302,7
550,12,0,12.0,9588552322494,12
551,13,0,13.0,9588552322814,13
552,17,0,17.0,9588552322821,17
553,10,0,10.0,8032755323723,10
554,11,0,11.0,8032755323730,11
555,5,0,5.0,8032755323761,5
556,1,0,1.0,8032755323778,1
557,8,0,8.0,9588552329103,8
558,5,0,5.0,9588552329110,5
559,8,0,8.0,6952675329921,8
560,30,0,30.0,6952675329938,30
561,89,0,89.0,8854761330119,89
562,32,0,32.0,8809420330641,32
563,9,0,9.0,8809420330696,9
564,15,0,15.0,8809420330740,15
573,30,0,30.0,6926410330954,30
574,171,0,171.0,9588552334244,171
575,165,0,165.0,9588552334251,165
576,169,0,169.0,9588552334268,169
577,4,0,4.0,9588552334954,4
578,9,0,9.0,9588552334961,9
579,11,0,11.0,6926410337090,11
580,54,0,54.0,6926410337250,54
581,7,0,7.0,9588552338389,7
582,17,0,17.0,6975035340046,17
583,7,0,7.0,6975035340053,7
584,2,0,2.0,6931500340706,2
585,32,0,32.0,6952675340735,32
586,52,0,52.0,6952675340810,52
587,5,0,5.0,6931500340904,5
588,1,0,1.0,6931500341000,1
589,1,0,1.0,4897031350008,1
590,12,0,12.0,4897031350015,12
591,2,0,2.0,8854761350117,2
592,4,0,4.0,1008861919350613,4
593,1,0,1.0,6945309351917,1
594,41,0,41.0,4897031352385,41
595,35,0,35.0,4897031352422,35
596,11,0,11.0,4897031352446,11
597,71,0,71.0,4897031352477,71
598,12,0,12.0,4897031353597,12
599,29,0,29.0,4897031353603,29
600,14,0,14.0,4897031353610,14
601,2,0,2.0,6970525356118,2
602,3,0,3.0,6970525356309,3
611,32,0,32.0,8996001356326,32
612,3,0,3.0,8996001356500,3
613,15,0,15.0,6944910358360,15
614,9,0,9.0,6970525359362,9
615,9,0,9.0,6970525359683,9
616,1,0,1.0,6970525359997,1
617,67,0,67.0,6971938360006,67
618,1,0,1.0,6902265360018,1
619,25,0,25.0,4806531360028,25
620,24,0,24.0,6971938360044,24
