,importAmount,importPrice,postSaleAmount,postSalePrice,preSaleAmount,preSaleCost,preSalePrice,saleAmount,salePrice,serialNum
529,18,68.40,0,0.00,-18,3.80,-68.40,0,0.00,6921168593552
530,0,0.00,300,1170.00,300,3.90,1170.00,0,0.00,6944839956852
531,192,403.20,41,86.10,31,2.10,65.10,182,382.20,6936571950052
532,0,0.00,30,138.00,36,4.60,165.60,6,27.60,6926410330954
533,0,0.00,0,0.00,1,2.50,2.50,1,2.50,6944839993796
534,0,0.00,227,885.30,227,3.90,885.30,0,0.00,6944839992065
535,0,0.00,312,1216.80,312,3.90,1216.80,0,0.00,6944839991983
536,0,0.00,49,161.70,127,3.30,419.10,78,257.40,6903004568658
537,0,0.00,59,271.40,70,4.60,322.00,11,50.60,6926410321501
538,360,792.00,5,11.00,-71,2.20,-156.20,284,624.80,6903004568511
539,0,0.00,43,197.80,45,4.60,207.00,2,9.20,6926410320214
540,24,84.00,20,70.00,1,3.50,3.50,5,17.50,6926892567084
550,0,0.00,11,50.60,22,4.60,101.20,11,50.60,6926410337090
551,24,84.00,41,143.50,19,3.50,66.50,2,7.00,6926892566087
552,-1,-4.60,54,248.40,58,4.60,266.80,3,13.80,6926410337250
553,0,0.00,254,2032.00,266,8.00,2128.00,12,96.00,6974197980084
554,0,0.00,6,96.00,13,16.00,208.00,7,112.00,6971885311892
555,0,0.00,15,240.00,19,16.00,304.00,4,64.00,6971885311830
556,0,0.00,0,0.00,6,16.00,96.00,6,96.00,6971885311816
557,24,84.00,21,73.50,0,3.50,0.00,3,10.50,6926892565080
558,0,0.00,222,932.40,266,4.20,1117.20,44,184.80,6970399920439
559,0,0.00,0,0.00,1,5.00,5.00,1,5.00,6970399922341
560,0,0.00,90,378.00,149,4.20,625.80,59,247.80,6972549660905
561,0,0.00,264,1108.80,278,4.20,1167.60,14,58.80,6972549660929
562,0,0.00,36,205.20,37,5.70,210.90,1,5.70,6941541002655
563,0,0.00,167,684.70,225,4.10,922.50,58,237.80,6972549661254
564,0,0.00,0,0.00,81,5.00,405.00,81,405.00,6970399922518
565,0,0.00,88,440.00,208,5.00,1040.00,120,600.00,6970399922365
566,0,0.00,225,4230.00,225,18.80,4230.00,0,0.00,6907619663432
567,0,0.00,76,319.20,144,4.20,604.80,68,285.60,6970399923096
568,-10,-66.00,0,0.00,10,6.60,66.00,0,0.00,6921168593804
569,45,193.50,1,4.30,15,4.30,64.50,59,253.70,6902538004045
570,30,129.00,47,202.10,27,4.30,116.10,10,43.00,6902538004052
571,0,0.00,135,2025.00,138,15.00,2070.00,3,45.00,6907619667669
572,0,0.00,263,1367.60,271,5.20,1409.20,8,41.60,6970399921092
573,16,60.80,0,0.00,-15,3.80,-57.00,1,3.80,6921168593576
574,0,0.00,1584,9504.00,1584,6.00,9504.00,0,0.00,6972549660035
575,0,0.00,0,0.00,-1,3.40,-3.40,0,0.00,6972549660097
576,0,0.00,0,0.00,-26,3.40,-88.40,0,0.00,6972549660134
577,0,0.00,88,396.00,89,4.50,400.50,1,4.50,6941541002068
578,0,0.00,52,234.00,53,4.50,238.50,1,4.50,6941541002099
579,0,0.00,85,382.50,87,4.50,391.50,2,9.00,6941541002129
589,0,0.00,1,5.00,83,5.00,415.00,82,410.00,6970399927247
590,0,0.00,98,411.60,136,4.20,571.20,38,159.60,6972549660677
591,0,0.00,16,204.80,19,12.80,243.20,3,38.40,6923555210479
592,0,0.00,312,1435.20,360,4.60,1656.00,47,216.20,6975176782460
593,0,0.00,26,332.80,29,12.80,371.20,3,38.40,6923555210462
594,0,0.00,207,952.20,208,4.60,956.80,1,4.60,6973497200199
595,0,0.00,144,662.40,144,4.60,662.40,0,0.00,6973497200205
596,0,0.00,4,51.20,6,12.80,76.80,2,25.60,6923555210455
597,0,0.00,510,3723.00,510,7.30,3723.00,0,0.00,6956416208148
598,0,0.00,555,4051.50,555,7.30,4051.50,0,0.00,6956416208124
599,0,0.00,48,240.00,93,5.00,465.00,45,225.00,6917878054766
600,0,0.00,74,370.00,74,5.00,370.00,0,0.00,6917878054780
601,-1,-5.00,0,0.00,1,5.00,5.00,0,0.00,6974106601680
602,0,0.00,103,875.50,117,8.50,994.50,13,110.50,6972779770016
603,0,0.00,0,0.00,1,8.50,8.50,2,17.00,6972779770023
604,0,0.00,25,52.50,50,2.10,105.00,25,52.50,6954767410388
605,0,0.00,40,512.00,42,12.80,537.60,2,25.60,6923555212749
606,-3,-14.40,75,360.00,101,4.80,484.80,23,110.40,4904910060320
607,0,0.00,167,868.40,208,5.20,1081.60,41,213.20,6975176780510
608,30,144.00,66,316.80,49,4.80,235.20,13,62.40,4904910060344
609,0,0.00,226,3051.00,235,13.50,3172.50,9,121.50,6973497200045
610,0,0.00,273,3685.50,275,13.50,3712.50,2,27.00,6973497200052
611,-1,-10.00,0,0.00,1,10.00,10.00,0,0.00,6971284201244
612,0,0.00,13,65.00,19,5.00,95.00,6,30.00,6973782440347
613,0,0.00,0,0.00,5,5.00,25.00,5,25.00,6973782440125
614,0,0.00,0,0.00,9,5.00,45.00,9,45.00,6973782440101
615,47,164.50,25,87.50,55,3.50,192.50,54,189.00,6974800840286
616,-1,-10.00,0,0.00,1,10.00,10.00,0,0.00,6971284201206
617,191,764.00,116,464.00,3,4.00,12.00,78,312.00,6954767422688
618,-241,-506.10,35,73.50,354,2.10,743.40,78,163.80,6954767430386
628,0,0.00,152,760.00,162,5.00,810.00,10,50.00,6973497200311
629,0,0.00,240,1392.00,240,5.80,1392.00,0,0.00,6956416206991
630,0,0.00,12,55.20,17,4.60,78.20,5,23.00,6973497200212
631,0,0.00,15,87.00,15,5.80,87.00,0,0.00,6956416206328
632,0,0.00,16,80.00,22,5.00,110.00,6,30.00,6973497200298
633,0,0.00,111,721.50,123,6.50,799.50,12,78.00,6971196385070
634,0,0.00,86,430.00,96,5.00,480.00,10,50.00,6973497200328
635,0,0.00,0,0.00,-1,7.00,-7.00,0,0.00,6947954100797
636,-1,-7.00,0,0.00,-6,7.00,-42.00,0,0.00,6947954100780
637,48,168.00,0,0.00,49,3.50,171.50,120,420.00,6974800840330
638,0,0.00,151,981.50,157,6.50,1020.50,6,39.00,6971196385179
639,0,0.00,0,0.00,3,6.50,19.50,1,6.50,6971196385162
640,24,295.20,0,0.00,-2,12.30,-24.60,19,233.70,6901347880390
641,0,0.00,3,19.50,13,6.50,84.50,10,65.00,6974348720019
642,0,0.00,58,278.40,68,4.80,326.40,10,48.00,6974878230101
643,0,0.00,37,259.00,42,7.00,294.00,5,35.00,8859546600098
644,0,0.00,840,1932.00,840,2.30,1932.00,0,0.00,6938309713403
645,30,144.00,2,9.60,-12,4.80,-57.60,16,76.80,6972863230105
646,0,0.00,36,169.20,59,4.70,277.30,23,108.10,6972863230136
647,30,141.00,3,14.10,1,4.70,4.70,28,131.60,6972863230259
648,0,0.00,0,0.00,5,5.80,29.00,8,46.40,6954767401812
649,0,0.00,71,951.40,74,13.40,991.60,3,40.20,6936700600599
650,0,0.00,22,294.80,37,13.40,495.80,15,201.00,6936700600247
651,0,0.00,88,1179.20,94,13.40,1259.60,6,80.40,6936700600353
652,0,0.00,81,469.80,82,5.80,475.60,1,5.80,6954767401874
653,0,0.00,101,1353.40,115,13.40,1541.00,14,187.60,6936700600391
654,0,0.00,4,26.00,15,6.50,97.50,11,71.50,6974348720002
655,0,0.00,16,104.00,16,6.50,104.00,0,0.00,6974348720392
656,0,0.00,23,184.00,55,8.00,440.00,32,256.00,6974106600027
657,0,0.00,16,196.80,16,12.30,196.80,0,0.00,6901347884343
667,0,0.00,197,985.00,197,5.00,985.00,0,0.00,6917878030623
668,0,0.00,480,2400.00,480,5.00,2400.00,0,0.00,6917878036847
669,0,0.00,23,149.50,44,6.50,286.00,21,136.50,6974348720132
671,0,0.00,17,272.00,17,16.00,272.00,0,0.00,6975035340046
672,0,0.00,1,3.50,1,3.50,3.50,0,0.00,6935284415650
673,0,0.00,8,152.00,25,19.00,475.00,17,323.00,6952675329921
674,0,0.00,30,384.00,36,12.80,460.80,6,76.80,6952675329938
675,0,0.00,0,0.00,8,20.00,160.00,0,0.00,9588552338983
676,0,0.00,5,80.00,9,16.00,144.00,4,64.00,6931500340904
677,0,0.00,1,16.00,1,16.00,16.00,0,0.00,6931500341000
678,0,0.00,52,665.60,56,12.80,716.80,4,51.20,6952675340810
679,0,0.00,2,20.00,13,10.00,130.00,11,110.00,6972698570100
680,0,0.00,14,126.00,16,9.00,144.00,2,18.00,4897045427772
681,0,0.00,5,72.50,8,14.50,116.00,3,43.50,9588552329110
682,0,0.00,21,871.50,21,41.50,871.50,0,0.00,6974259420367
683,0,0.00,7,112.00,13,16.00,208.00,6,96.00,6975035340053
684,0,0.00,2,32.00,22,16.00,352.00,20,320.00,6931500340706
685,0,0.00,8,116.00,10,14.50,145.00,2,29.00,9588552329103
686,0,0.00,32,448.00,36,14.00,504.00,4,56.00,6952675340735
687,0,0.00,0,0.00,5,14.04,70.20,4,56.16,9588552337535
688,0,0.00,0,0.00,1,11.31,11.31,1,11.31,9588552337450
689,0,0.00,65,1137.50,65,17.50,1137.50,0,0.00,6954808613334
690,0,0.00,29,1624.00,35,56.00,1960.00,6,336.00,6948042400027
691,0,0.00,81,5427.00,91,67.00,6097.00,10,670.00,6948042400034
692,0,0.00,0,0.00,1,10.50,10.50,1,10.50,9588552333902
693,0,0.00,171,1881.00,171,11.00,1881.00,0,0.00,9588552334244
694,0,0.00,165,1815.00,165,11.00,1815.00,0,0.00,9588552334251
695,0,0.00,169,1859.00,169,11.00,1859.00,0,0.00,9588552334268
696,0,0.00,4,60.84,10,15.21,152.10,6,91.26,9588552334954
706,0,0.00,9,136.89,11,15.21,167.31,2,30.42,9588552334961
707,0,0.00,135,4725.00,135,35.00,4725.00,0,0.00,6954808603281
708,0,0.00,0,0.00,1,14.63,14.63,1,14.63,9588552338396
709,0,0.00,0,0.00,2,13.60,27.20,2,27.20,4710484398970
710,0,0.00,7,102.41,11,14.63,160.93,4,58.52,9588552338389
711,0,0.00,0,0.00,1,10.50,10.50,0,0.00,6952675337735
712,0,0.00,0,0.00,1,12.00,12.00,0,0.00,9588552332707
713,0,0.00,0,0.00,1,12.00,12.00,0,0.00,9588552332912
714,0,0.00,0,0.00,7,13.60,95.20,7,95.20,4710484398994
715,0,0.00,0,0.00,-1,27.00,-27.00,0,0.00,9588552333889
716,0,0.00,0,0.00,1,14.04,14.04,1,14.04,9588552337542
717,0,0.00,20,240.00,23,12.00,276.00,3,36.00,6941174499617
718,0,0.00,14,308.00,18,22.00,396.00,4,88.00,4897031353610
719,0,0.00,60,1440.00,60,24.00,1440.00,0,0.00,6954808611118
720,0,0.00,12,264.00,16,22.00,352.00,4,88.00,4897031353597
721,0,0.00,29,638.00,31,22.00,682.00,2,44.00,4897031353603
722,0,0.00,60,1440.00,60,24.00,1440.00,0,0.00,6954808611095
723,0,0.00,2,260.00,2,130.00,260.00,0,0.00,6970525356118
724,0,0.00,3,405.00,5,135.00,675.00,2,270.00,6970525356309
725,0,0.00,60,1050.00,60,17.50,1050.00,0,0.00,6954808611156
726,0,0.00,71,2059.00,76,29.00,2204.00,5,145.00,4897031352477
727,0,0.00,7,129.50,7,18.50,129.50,0,0.00,6959540364063
728,0,0.00,35,1015.00,41,29.00,1189.00,6,174.00,4897031352422
729,0,0.00,11,308.00,11,28.00,308.00,0,0.00,4897031352446
730,0,0.00,153,6548.40,155,42.80,6634.00,2,85.60,6959540361321
731,0,0.00,37,370.00,38,10.00,380.00,1,10.00,6957258513933
732,0,0.00,238,6188.00,239,26.00,6214.00,1,26.00,6959540362274
733,0,0.00,125,6500.00,127,52.00,6604.00,2,104.00,6959540361406
734,0,0.00,41,1148.00,49,28.00,1372.00,8,224.00,4897031352385
735,0,0.00,3,45.00,3,15.00,45.00,0,0.00,8996001356500
745,0,0.00,32,1264.00,32,39.50,1264.00,0,0.00,6941174497026
746,0,0.00,29,1145.50,29,39.50,1145.50,0,0.00,6941174497033
747,0,0.00,16,140.80,19,8.80,167.20,3,26.40,6941174497149
748,0,0.00,32,480.00,37,15.00,555.00,5,75.00,8996001356326
749,0,0.00,1,43.00,1,43.00,43.00,0,0.00,6970525359997
750,0,0.00,6,52.80,9,8.80,79.20,3,26.40,6941174497156
751,0,0.00,9,693.00,10,77.00,770.00,1,77.00,6970525359683
752,0,0.00,9,1080.00,12,120.00,1440.00,3,360.00,6970525359362
753,0,0.00,26,2860.00,26,110.00,2860.00,0,0.00,4014400470055
754,0,0.00,0,0.00,4,14.50,58.00,4,58.00,653314503493
755,0,0.00,12,120.00,13,10.00,130.00,1,10.00,6957258517108
