,countingAmount,diffAmount,diffPrice,serialNum,stockAmount
935,0,0,0.0,6974459960113,0
936,39,0,39.0,6974459960120,39
937,1,0,1.0,6974459960137,1
938,0,0,0.0,9556023986476,0
939,0,0,0.0,7622210999900,0
940,12,0,12.0,8854761000111,12
941,48,0,48.0,8002270000225,48
942,12,0,12.0,8002650000296,12
943,0,0,0.0,8002650000784,0
944,23,0,23.0,8002650000807,23
945,9,0,9.0,8002650000906,9
946,0,0,0.0,5290074002238,0
947,9,0,9.0,5290074002245,9
948,2,0,2.0,5290074002450,2
949,0,0,0.0,5290074002467,0
950,0,0,0.0,5290074002993,0
951,0,0,0.0,8854761004010,0
952,0,0,0.0,8002650006113,0
953,8,0,8.0,8002650008087,8
954,36,0,36.0,3179730010041,36
955,130,0,130.0,8854761010110,130
956,124,0,124.0,3179730010560,124
957,0,8,-8.0,3179730010591,-8
958,0,0,0.0,8854761014019,0
959,0,0,0.0,8002270017063,0
960,54,0,54.0,8002270018459,54
961,0,0,0.0,8854761020010,0
962,0,10,-10.0,3068320055008,-10
963,45,0,45.0,8854761060115,45
964,51,0,51.0,8854761070114,51
965,0,0,0.0,8854761074112,0
966,0,1,-1.0,3068320099651,-1
967,0,0,0.0,3179730121884,0
968,5,0,5.0,8935024140147,5
969,18,0,18.0,8935024141342,18
970,19,0,19.0,8935024141847,19
971,0,0,0.0,8935024141854,0
972,101,0,101.0,8854761150113,101
973,141,0,141.0,8854761170111,141
974,0,0,0.0,8854761174010,0
975,0,0,0.0,8854761184019,0
976,0,0,0.0,5202908200802,0
977,0,0,0.0,5202908200819,0
978,0,0,0.0,9555075201292,0
979,8,0,8.0,6920180209601,8
980,6,0,6.0,8850161230264,6
981,85,0,85.0,8854761240111,85
982,0,0,0.0,8854761254415,0
983,0,0,0.0,7613036305846,0
984,0,0,0.0,8809069306441,0
985,5,0,5.0,8809069306489,5
986,0,0,0.0,8809069306502,0
987,89,0,89.0,8854761330119,89
988,1,0,1.0,4897031350008,1
989,12,0,12.0,4897031350015,12
990,2,0,2.0,8854761350117,2
991,0,0,0.0,4901111391741,0
992,0,6,-6.0,041508600057,-6
993,10,0,10.0,8851994612012,10
994,0,0,0.0,041508634489,0
995,0,0,0.0,4901111795402,0
996,0,30,-30.0,041508800075,-30
997,0,0,0.0,041508800129,0
998,10,0,10.0,8807920893475,10
999,0,0,0.0,6923900920190,0
1000,24,0,24.0,4000417933003,24
1001,1,0,1.0,8809654955146,1
1002,0,0,0.0,8809654955153,0
1003,0,0,0.0,8809654955740,0
1004,0,0,0.0,6923900999028,0
1005,0,0,0.0,8854761999156,0
1006,0,0,0.0,8854761999163,0
1007,0,0,0.0,8854761999187,0
1008,0,0,0.0,8854761999194,0
1009,15,0,15.0,8934683007235,15
1010,0,0,0.0,8934683008317,0
1011,0,0,0.0,8410069013026,0
1012,0,0,0.0,8410069013057,0
1013,0,0,0.0,8410069017222,0
1014,0,0,0.0,8410069017239,0
1015,0,0,0.0,6970434058646,0
1016,0,0,0.0,9555463100862,0
1017,0,0,0.0,4712764583571,0
1018,0,0,0.0,4712764583595,0
1019,0,0,0.0,4712764583601,0
1020,0,0,0.0,4712764583625,0
1021,8,0,8.0,4901330742386,8
1022,9,0,9.0,4901330743826,9
1023,0,0,0.0,4712308830772,0
1024,0,0,0.0,4712308830789,0
1025,0,0,0.0,4712308830857,0
1026,0,0,0.0,4712308830864,0
1027,0,0,0.0,4712308830871,0
1028,0,0,0.0,4712308831069,0
1029,0,0,0.0,4712308831113,0
1030,0,0,0.0,4712308831120,0
1031,336,0,336.0,4712968860089,336
1032,348,0,348.0,4712968860096,348
1033,230,0,230.0,4712968860102,230
1034,0,0,0.0,8850096930246,0
1035,0,0,0.0,4100290001230,0
1036,3,0,3.0,4100290002756,3
1037,0,0,0.0,9415262003972,0
1038,0,0,0.0,9415262003989,0
1039,15,0,15.0,4100290007072,15
1040,58,0,58.0,4100290007089,58
1041,2,0,2.0,4100290007096,2
1042,0,0,0.0,9400564020321,0
1043,0,0,0.0,9400564020338,0
1044,24,0,24.0,5711953044366,24
1045,0,0,0.0,5711953044380,0
1046,0,0,0.0,5711953075155,0
1047,0,0,0.0,5711953075162,0
1048,14,0,14.0,6955801112596,14
1049,0,3,-3.0,9315090201062,-3
1050,0,-2,2.0,9315090201109,2
1051,6,0,6.0,9315090201758,6
1052,1,0,1.0,9315090210507,1
1053,0,0,0.0,4260290260010,0
1054,12,0,12.0,4260290260027,12
1055,9,0,9.0,4260290260034,9
1056,3,0,3.0,4260290260041,3
1057,9,0,9.0,4260290262267,9
1058,14,0,14.0,4260290262274,14
1059,3,0,3.0,4260290263042,3
1060,0,0,0.0,4260290263387,0
1061,0,0,0.0,4260290263929,0
1062,0,0,0.0,4260290264322,0
1063,0,0,0.0,4260290264339,0
1064,0,0,0.0,4260290264544,0
1065,0,0,0.0,4260290264551,0
1066,7,0,7.0,4260290264636,7
1067,6,0,6.0,4260290265190,6
1068,3,0,3.0,4260290265206,3
1069,0,0,0.0,4260290265305,0
1070,0,0,0.0,4260290265510,0
1071,0,0,0.0,4260290265527,0
1072,0,0,0.0,4100910382091,0
1073,27,0,27.0,9300639400013,27
1074,0,0,0.0,9300639500041,0
1075,0,0,0.0,9300639500102,0
1076,0,0,0.0,9300639500126,0
1077,0,0,0.0,9300639600383,0
1078,16,0,16.0,9300639602967,16
1079,6,0,6.0,4100910903203,6
1080,18,0,18.0,9300639999005,18
1082,0,0,0.0,6948195800842,0
1083,0,0,0.0,6948195801016,0
1084,0,0,0.0,6948195805717,0
1085,0,0,0.0,6948195805977,0
1086,0,0,0.0,6948195807551,0
1087,0,0,0.0,6948195809425,0
1088,0,0,0.0,6948195810155,0
1089,0,0,0.0,6948195810568,0
1090,0,0,0.0,6948195860037,0
1091,0,0,0.0,6948195851516,0
1092,0,0,0.0,6948195860136,0
1093,0,0,0.0,6948195861188,0
1095,15,0,15.0,6916323180104,15
1096,14,0,14.0,6916323180111,14
1097,8,0,8.0,6916323180128,8
1098,11,-2,13.0,6916323200222,13
1099,5,0,5.0,6916323200413,5
1100,5,0,5.0,6916323200611,5
1101,10,0,10.0,6916323200628,10
1102,23,-2,25.0,6916323200635,25
1103,42,-1,43.0,6916323200659,43
1104,1,0,1.0,6916323935018,1
1105,6,0,6.0,6916323935025,6
1106,10,-1,11.0,6916323936039,11
1107,15,0,15.0,6916323937043,15
1108,23,0,23.0,6916323942313,23
1109,0,0,0.0,6916323943525,0
1110,0,0,0.0,6916323963011,0
1111,0,0,0.0,6916323963202,0
1112,12,0,12.0,6916323963226,12
1114,0,0,0.0,8680122600030,0
1115,0,0,0.0,8680122600054,0
1116,0,0,0.0,8680122600092,0
1117,0,0,0.0,6955537611042,0
1118,0,0,0.0,6955537611103,0
1120,0,0,0.0,9421902726224,0
1121,0,0,0.0,9421902726231,0
1123,0,0,0.0,6927978000242,0
1124,0,0,0.0,6927978000457,0
1125,0,0,0.0,6927978000655,0
1126,0,0,0.0,6927978000808,0
1127,0,0,0.0,6927978000822,0
1128,0,0,0.0,6927978000907,0
1129,0,0,0.0,6927978002093,0
1130,0,0,0.0,6945224100010,0
1131,0,0,0.0,6945224100027,0
1132,0,0,0.0,6945224100065,0
1133,0,0,0.0,6945224100089,0
1134,0,0,0.0,6945224100119,0
1135,0,0,0.0,6945224100218,0
1136,0,0,0.0,6941175400414,0
1138,0,0,0.0,6902890022558,0
1139,0,0,0.0,6902890216247,0
1140,0,0,0.0,6902890219088,0
1141,0,0,0.0,6902890221012,0
1142,0,0,0.0,6902890222033,0
1143,0,0,0.0,6902890227656,0
1144,0,0,0.0,6902890230632,0
1145,0,0,0.0,6902890231615,0
1146,0,0,0.0,6902890233855,0
1147,0,0,0.0,6902890234135,0
1148,0,0,0.0,6902890234166,0
1149,0,0,0.0,6902890237846,0
1150,0,0,0.0,6902890237853,0
1151,0,0,0.0,6902890238249,0
1152,0,0,0.0,6902890239338,0
1153,0,0,0.0,6902890240570,0
1154,0,0,0.0,6902890240594,0
1155,0,0,0.0,6902890240662,0
1156,0,0,0.0,6902890241720,0
1157,0,0,0.0,6902890241928,0
1158,0,0,0.0,6902890242000,0
1159,0,0,0.0,6902890242338,0
1160,0,0,0.0,6902890242536,0
1161,0,0,0.0,6902890242550,0
1162,0,0,0.0,6902890242567,0
1163,0,0,0.0,6902890242574,0
1164,0,0,0.0,6902890242628,0
1165,0,0,0.0,6902890242673,0
1166,0,0,0.0,6902890244172,0
1167,0,0,0.0,6902890244219,0
1168,0,0,0.0,6902890244226,0
1169,0,0,0.0,6902890244516,0
1170,0,0,0.0,6902890244523,0
1171,0,0,0.0,6902890244547,0
1172,0,0,0.0,6902890245049,0
1173,0,0,0.0,6902890246473,0
1174,0,0,0.0,6902890246534,0
1175,0,0,0.0,6902890246770,0
1176,0,0,0.0,6902890247050,0
1177,0,0,0.0,6902890247418,0
1178,0,0,0.0,6902890247999,0
1179,0,0,0.0,6902890249337,0
1180,0,0,0.0,6902890251873,0
1181,0,0,0.0,6902890252559,0
1182,0,0,0.0,6902890253587,0
1183,0,0,0.0,6902890255239,0
1184,0,0,0.0,6902890256298,0
1185,0,0,0.0,6939930500264,0
1187,0,0,0.0,6914209018213,0
1188,0,0,0.0,6914209018374,0
1189,0,0,0.0,6914209023392,0
1190,0,0,0.0,6944247300292,0
1192,0,0,0.0,6923644241780,0
1193,0,0,0.0,6923644251482,0
1194,0,0,0.0,6923644270766,0
1195,0,0,0.0,6923644270773,0
1196,0,0,0.0,6923644270957,0
