,amount,categoryName,cost,currPrice,productName,serialNum
215,10.0,干货类,41.0,53.0,野森林巴达木500g,6928710601758
216,40.0,干货类,56.0,73.0,野森林美国大杏仁500g,6928710601703
217,182.0,干货类,38.0,51.0,野森林碧根果350g,6928710660076
218,20.0,干货类,4.0,7.6,野森林水晶粉丝150g,6974919370087
219,107.0,干货类,33.0,45.0,森林味道核桃680g,6928710601611
220,40.0,干货类,52.0,67.5,野森林新疆大枣1000g,6928710601512
221,5.0,干货类,16.0,21.3,野森林五色糙米1kg,6974919370254
231,20.0,杂粮类,17.5,22.8,野森林绿豆1000g,6928710600577
232,9.0,杂粮类,6.9,8.5,野森林红糖精选500g,6928710600805
233,20.0,杂粮类,18.0,22.5,野森林小米1000g,6928710600553
234,27.0,杂粮类,12.5,16.3,野森林江米1000g,6928710600546
235,3.0,杂粮类,12.0,15.8,野森林黄冰糖500g,6928710601147
236,20.0,杂粮类,20.0,25.9,野森林红小豆1000g,6928710600560
237,35.0,杂粮类,11.5,15.0,野森林五谷粥500g,6928710601352
238,21.0,杂粮类,6.2,7.5,野森林黑豆500g,6928710601284
239,40.0,杂粮类,12.5,16.3,野森林黄豆1000g,6928710600584
240,14.0,杂粮类,7.0,10.0,野森林玉米粥1000g,6928710600713
241,36.0,杂粮类,5.5,8.0,野森林圆江米500g,6928710601406
242,40.0,杂粮类,11.0,14.7,野森林燕麦片1000g,6928710600591
243,11.0,杂粮类,10.0,13.5,野森林菊花冰糖500G,6928710601734
244,55.0,杂粮类,20.0,26.0,野森林花生米1000g,6928710600614
245,40.0,杂粮类,18.0,23.5,野森林黑米1000g,6928710600621
246,40.0,杂粮类,9.0,10.8,野森林糙米1000g,6928710601017
247,15.0,杂粮类,9.0,12.5,野森林白糖罐装700g,6928710660175
248,16.0,杂粮类,10.0,13.5,野森林罐装白芝麻238g,6928710660045
249,57.0,杂粮类,18.0,24.0,野森林薏米600g,6928710660496
250,14.0,杂粮类,26.0,34.8,野森林每日粗粮700g,6928710602151
251,40.0,杂粮类,30.0,39.9,野森林藜麦650g,6928710609211
252,12.0,杂粮类,9.0,13.5,野森林冰糖罐装600g,6928710660182
253,32.0,杂粮类,11.0,13.5,野森林白糖1000g,6928710600331
254,16.0,杂粮类,8.0,10.3,野森林冰糖500g精选,6928710600317
257,13.0,调料类,1.3,1.5,营口大酱150g,6920633801048
258,30.0,调料类,1.2,1.5,川南口口脆榨菜53g,6915993303363
259,23.0,调料类,13.0,17.0,红九九400g,6933453800078
260,8.0,调料类,11.0,14.6,川南油辣子280g,6915993304650
