,cost,refundAmount,refundPrice,saleAmount,salePrice,saleTotal,serialNum
625,4.00,0,0.00,84.00,5.50,462.00,6927797623370
626,14.80,0,0.00,5.00,19.00,95.00,6933211412246
627,9.30,0,0.00,5.00,12.00,60.00,6933211432459
628,19.00,0,0.00,1.00,24.00,24.00,8000380140565
629,7.80,0,0.00,1.00,10.80,10.80,6907661938854
630,77.00,0,0.00,1.00,88.00,88.00,6970525359683
631,120.00,0,0.00,3.00,138.00,414.00,6970525359362
632,135.00,0,0.00,2.00,158.00,316.00,6970525356309
633,6.80,0,0.00,3.00,9.50,28.50,6930628801304
634,8.50,0,0.00,8.00,10.50,84.00,6921804700757
635,8.50,0,0.00,5.00,11.00,55.00,6921804700184
636,64.00,0,0.00,10.00,75.80,758.00,6947475900913
637,114.00,0,0.00,4.00,144.00,576.00,6947475903242
638,68.00,0,0.00,26.00,81.00,2106.00,6947475902405
639,5.30,0,0.00,7.00,6.50,45.50,6922621132783
640,52.00,0,0.00,27.00,64.00,1728.00,6932816000742
641,17.60,0,0.00,4.00,20.00,80.00,6371251254
650,15.00,0,0.00,2.00,19.50,39.00,6975048660827
651,15.00,0,0.00,6.00,19.50,117.00,6975048660810
652,7.00,0,0.00,5.00,9.90,49.50,8859546600098
653,7.00,0,0.00,4.00,9.90,39.60,8855044006684
654,7.00,0,0.00,2.00,9.90,19.80,8855044004628
655,9.00,0,0.00,9.00,11.50,103.50,6922824000643
656,8.50,0,0.00,3.00,10.50,31.50,6918678310014
657,6.00,0,0.00,6.00,7.90,47.40,4893888001575
658,6.00,0,0.00,7.00,7.60,53.20,6922824055063
659,7.00,0,0.00,7.00,9.90,69.30,6922824055018
660,7.80,0,0.00,9.00,9.90,89.10,4893888001360
661,9.00,0,0.00,4.00,11.50,46.00,6922824001329
662,10.00,0,0.00,1.00,12.50,12.50,6918678423035
663,12.00,0,0.00,3.00,15.50,46.50,6941174499617
664,8.80,0,0.00,3.00,10.80,32.40,6941174497156
665,8.80,0,0.00,3.00,10.80,32.40,6941174497149
666,7.00,0,0.00,18.00,8.90,160.20,6975475660254
667,9.80,0,0.00,3.00,12.90,38.70,6923976110136
668,9.80,0,0.00,10.00,12.90,129.00,6923976112161
669,9.80,0,0.00,8.00,12.90,103.20,6923976181266
670,25.00,0,0.00,10.00,32.00,320.00,1008861919351350
671,17.60,0,0.00,8.00,20.00,160.00,6371251253
672,11.20,0,0.00,3.00,13.50,40.50,6909689901483
673,5.20,0,0.00,1.00,7.50,7.50,6942848800050
674,8.50,0,0.00,2.00,12.50,25.00,6972779770023
675,8.50,0,0.00,13.00,12.50,162.50,6972779770016
676,150.00,0,0.00,35.00,159.90,5596.50,6916168616554
677,6.00,0,0.00,18.00,7.50,135.00,6934126261899
678,11.00,0,0.00,9.00,12.50,112.50,6958104100796
679,98.00,0,0.00,49.00,108.90,5336.10,6938749816122
688,65.00,0,0.00,2.00,75.00,150.00,6971114920017
689,12.00,0,0.00,2.00,16.80,33.60,6958104101861
690,11.00,0,0.00,7.00,16.90,118.30,6934126262346
691,7.20,0,0.00,20.00,8.50,170.00,6931299062605
692,7.00,0,0.00,4.00,9.80,39.20,6934126262933
693,62.00,0,0.00,2.00,79.90,159.80,6971938360006
694,11.00,0,0.00,14.00,14.90,208.60,6958104101021
695,112.00,0,0.00,3.00,139.90,419.70,6971938360075
696,25.00,0,0.00,25.00,32.90,822.50,6971114920178
697,10.00,0,0.00,37.00,13.90,514.30,6934230050129
698,3.70,0,0.00,99.00,4.50,445.50,6901808188881
699,12.90,0,0.00,15.00,17.00,255.00,6970209860467
700,12.90,0,0.00,13.00,17.00,221.00,6970209860221
701,99.00,0,0.00,23.00,129.00,2967.00,6975471520019
702,20.00,0,0.00,6.00,25.00,150.00,6924773600165
703,4.70,0,0.00,6.00,5.90,35.40,6924116170089
704,4.70,0,0.00,2.00,5.90,11.80,6924116188879
705,4.70,0,0.00,7.00,5.90,41.30,6924116170010
706,16.00,0,0.00,3.00,25.90,77.70,6971851560439
707,12.00,0,0.00,4.00,18.90,75.60,6971851560026
708,11.00,0,0.00,3.00,14.50,43.50,4897045430383
709,11.00,0,0.00,2.00,14.50,29.00,4897045430390
710,11.00,0,0.00,1.00,14.90,14.90,6975287200266
711,11.00,0,0.00,4.00,14.50,58.00,6957258516460
712,8.50,0,0.00,3.00,11.50,34.50,6975287200488
713,12.00,0,0.00,3.00,15.50,46.50,6975287200044
714,10.00,0,0.00,1.00,13.50,13.50,6957258513933
715,9.00,0,0.00,10.00,12.00,120.00,6975287200358
716,10.00,0,0.00,7.00,13.50,94.50,6957258513940
717,9.00,0,0.00,4.00,12.00,48.00,6975287200365
726,9.00,0,0.00,4.00,12.00,48.00,6957258516156
727,11.00,0,0.00,13.00,14.50,188.50,6957258516231
728,10.00,0,0.00,1.00,13.50,13.50,6957258517108
729,10.00,0,0.00,5.00,13.50,67.50,6957258517115
730,14.50,0,0.00,2.00,18.50,37.00,6975287200730
731,12.00,0,0.00,4.00,15.50,62.00,6975287200037
732,4.30,0,0.00,46.00,5.20,239.20,6902538008425
733,4.30,0,0.00,59.00,5.20,306.80,6902538004045
734,4.30,0,0.00,45.00,5.20,234.00,6902538005141
735,4.30,0,0.00,10.00,5.20,52.00,6902538004052
736,15.00,0,0.00,4.00,18.00,72.00,1008861919350087
737,8.00,0,0.00,4.00,12.00,48.00,6902131130011
738,18.00,0,0.00,6.00,23.20,139.20,6902131130882
739,8.00,0,0.00,32.00,10.80,345.60,6974106600027
740,34.00,0,0.00,8.00,40.00,320.00,6958196800499
741,52.00,0,0.00,20.00,61.50,1230.00,6958196800338
742,78.00,0,0.00,3.00,109.00,327.00,6955801112596
743,13.80,0,0.00,1.00,18.00,18.00,1008861919352104
744,53.00,0,0.00,11.00,68.00,748.00,6923644232658
745,58.00,0,0.00,8.00,68.00,544.00,6923644297251
746,55.00,0,0.00,4.00,68.00,272.00,6923644299804
747,13.00,0,0.00,2.00,13.90,27.80,6971654248015
748,17.00,0,0.00,2.00,18.00,36.00,6971654248091
749,50.00,0,0.00,1.00,62.50,62.50,6928710602212
750,2.30,0,0.00,3.00,3.00,9.00,6938309700526
751,2.30,0,0.00,60.00,3.00,180.00,6938309700533
752,7.50,0,0.00,19.00,9.50,180.50,6958770001403
753,11.00,0,0.00,3.00,13.90,41.70,6958770002028
754,11.00,0,0.00,3.00,13.90,41.70,6958770001878
755,11.80,0,0.00,1.00,14.30,14.30,6931303688579
764,11.00,0,0.00,6.00,14.50,87.00,8993175537391
765,8.80,0,0.00,8.00,10.00,80.00,6371251251
766,6.50,0,0.00,6.00,7.90,47.40,6971196385179
767,6.50,0,0.00,12.00,7.90,94.80,6971196385070
768,6.50,0,0.00,1.00,7.90,7.90,6971196385162
769,23.00,0,0.00,1.00,26.80,26.80,6901333110524
770,24.00,0,0.00,2.00,30.00,60.00,6901333980196
771,23.00,0,0.00,2.00,26.80,53.60,6901333212112
772,11.50,0,0.00,29.00,14.50,420.50,1008861919352159
773,25.70,0,0.00,4.00,32.80,131.20,2010312235607
774,16.90,0,0.00,9.00,19.90,179.10,1008861919350360
775,130.00,0,0.00,6.00,148.00,888.00,6974622051075
776,19.60,0,0.00,9.00,24.80,223.20,2302122979121
