,categoryName,grossProfit,grossProfitRate,saleAmount,saleIncome,serialNum,supplierName,totalCost
834,零食类,9.00,17.65%,6,51.00,6920907809886,西安和天熙商贸有限公司,42.00
835,零食类,4.50,17.65%,3,25.50,6920907809862,西安和天熙商贸有限公司,21.00
836,零食类,5.00,23.26%,1,21.50,6920907801347,西安和天熙商贸有限公司,16.50
837,零食类,7.20,16.00%,6,45.00,6925843404249,西安和天熙商贸有限公司,37.80
838,零食类,15.00,21.43%,5,70.00,4894375010995,西安和天熙商贸有限公司,55.00
839,零食类,2.70,25.71%,1,10.50,9556023564599,西安和天熙商贸有限公司,7.80
840,零食类,15.00,23.81%,3,63.00,6959629805463,西安和天熙商贸有限公司,48.00
841,零食类,5.00,23.81%,1,21.00,6959629805548,西安和天熙商贸有限公司,16.00
842,零食类,10.00,23.81%,2,42.00,6959629805487,西安和天熙商贸有限公司,32.00
843,零食类,5.00,23.81%,1,21.00,6959629805531,西安和天熙商贸有限公司,16.00
844,零食类,10.00,23.81%,2,42.00,6959629805470,西安和天熙商贸有限公司,32.00
845,零食类,10.00,21.74%,2,46.00,9588552322302,西安和天熙商贸有限公司,36.00
854,零食类,3.00,23.08%,1,13.00,6971529861257,西安和天熙商贸有限公司,10.00
855,零食类,14.00,21.88%,5,64.00,6927682700018,西安和天熙商贸有限公司,50.00
856,零食类,9.00,25.71%,1,35.00,5410081201848,西安和天熙商贸有限公司,26.00
857,零食类,33.60,20.17%,7,166.60,6952480000800,西安和天熙商贸有限公司,133.00
858,零食类,9.30,24.03%,3,38.70,6923976110136,西安和天熙商贸有限公司,29.40
859,零食类,3.10,24.03%,1,12.90,6923976112161,西安和天熙商贸有限公司,9.80
860,零食类,12.40,24.03%,4,51.60,6923976181266,西安和天熙商贸有限公司,39.20
861,零食类,16.40,24.12%,4,68.00,6970209860467,西安和天熙商贸有限公司,51.60
862,零食类,16.40,24.12%,4,68.00,6970209860221,西安和天熙商贸有限公司,51.60
863,零食类,32.00,21.05%,8,152.00,6934364814697,西安和天熙商贸有限公司,120.00
864,零食类,3.50,24.14%,1,14.50,8993175537391,西安和天熙商贸有限公司,11.00
865,零食类,20.00,21.74%,4,92.00,6923228400404,西安和天熙商贸有限公司,72.00
866,零食类,23.00,24.21%,1,95.00,6924187892637,西安和天熙商贸有限公司,72.00
867,零食类,21.80,25.41%,2,85.80,6924187876576,西安和天熙商贸有限公司,64.00
868,零食类,8.00,22.22%,1,36.00,6924187875333,西安和天熙商贸有限公司,28.00
869,零食类,16.80,23.60%,8,71.20,6924187851160,西安和天熙商贸有限公司,54.40
870,零食类,6.00,20.69%,1,29.00,6924187889316,西安和天熙商贸有限公司,23.00
871,零食类,6.00,20.69%,1,29.00,6924187889309,西安和天熙商贸有限公司,23.00
872,零食类,23.00,25.84%,2,89.00,6924187858725,西安和天熙商贸有限公司,66.00
873,零食类,9.40,29.56%,2,31.80,6924187821989,西安和天熙商贸有限公司,22.40
874,零食类,25.60,23.02%,8,111.20,6924187821644,西安和天熙商贸有限公司,85.60
875,零食类,33.00,28.95%,6,114.00,6924187822337,西安和天熙商贸有限公司,81.00
876,零食类,21.00,17.95%,3,117.00,6974900680560,西安和天熙商贸有限公司,96.00
877,零食类,68.00,17.53%,4,388.00,6974900680270,西安和天熙商贸有限公司,320.00
878,零食类,16.00,18.18%,2,88.00,6974900680737,西安和天熙商贸有限公司,72.00
879,零食类,21.70,18.67%,7,116.20,6925723002411,西安和天熙商贸有限公司,94.50
880,零食类,11.00,24.44%,1,45.00,8002650002177,西安和天熙商贸有限公司,34.00
881,零食类,9.00,24.32%,2,37.00,4715219771615,西安和天熙商贸有限公司,28.00
882,零食类,19.50,22.39%,13,87.10,6901306180714,西安和天熙商贸有限公司,67.60
891,零食类,1.50,22.39%,1,6.70,6901306180738,西安和天熙商贸有限公司,5.20
892,零食类,1.50,22.39%,1,6.70,6901306180707,西安和天熙商贸有限公司,5.20
893,零食类,5.00,18.52%,2,27.00,6926972995219,西安和天熙商贸有限公司,22.00
894,零食类,2.50,18.52%,1,13.50,6926972995226,西安和天熙商贸有限公司,11.00
895,零食类,2.50,18.52%,1,13.50,6926972995202,西安和天熙商贸有限公司,11.00
896,零食类,7.80,21.79%,2,35.80,6972636670244,西安和天熙商贸有限公司,28.00
897,零食类,27.30,21.79%,7,125.30,6972636670237,西安和天熙商贸有限公司,98.00
898,零食类,27.30,21.79%,7,125.30,6972636670213,西安和天熙商贸有限公司,98.00
899,零食类,4.00,15.69%,1,25.50,6909995101676,西安和天熙商贸有限公司,21.50
900,零食类,4.00,15.69%,1,25.50,6909995110326,西安和天熙商贸有限公司,21.50
901,零食类,4.00,23.53%,1,17.00,8032755323761,西安和天熙商贸有限公司,13.00
902,零食类,20.00,25.00%,2,80.00,6959479300422,西安和天熙商贸有限公司,60.00
903,零食类,8.00,22.22%,2,36.00,4712883837876,西安和天熙商贸有限公司,28.00
904,零食类,8.00,22.22%,2,36.00,4712883837883,西安和天熙商贸有限公司,28.00
905,零食类,7.50,23.81%,3,31.50,4712883834257,西安和天熙商贸有限公司,24.00
906,零食类,20.00,26.32%,2,76.00,4712764583595,西安和天熙商贸有限公司,56.00
907,零食类,9.00,25.00%,2,36.00,4897025889453,西安和天熙商贸有限公司,27.00
908,零食类,18.00,21.95%,2,82.00,4897025882539,西安和天熙商贸有限公司,64.00
909,零食类,22.50,25.00%,5,90.00,4897025889460,西安和天熙商贸有限公司,67.50
910,零食类,17.20,31.16%,4,55.20,6920130971879,西安和天熙商贸有限公司,38.00
911,零食类,8.60,31.16%,2,27.60,6920130971886,西安和天熙商贸有限公司,19.00
912,零食类,1.80,15.25%,2,11.80,6920907808612,西安和天熙商贸有限公司,10.00
913,零食类,1.80,15.25%,2,11.80,6920907808575,西安和天熙商贸有限公司,10.00
914,零食类,20.00,20.00%,8,100.00,6923450656181,西安和天熙商贸有限公司,80.00
915,零食类,12.50,20.00%,5,62.50,6923450656150,西安和天熙商贸有限公司,50.00
916,零食类,12.50,20.00%,5,62.50,6923450657935,西安和天熙商贸有限公司,50.00
917,零食类,5.00,20.00%,2,25.00,6923450657638,西安和天熙商贸有限公司,20.00
918,零食类,20.00,20.00%,8,100.00,6923450656860,西安和天熙商贸有限公司,80.00
919,零食类,2.50,23.81%,1,10.50,4716076571745,西安和天熙商贸有限公司,8.00
928,零食类,2.50,23.81%,1,10.50,4716076571769,西安和天熙商贸有限公司,8.00
929,零食类,5.00,22.73%,2,22.00,4716076571462,西安和天熙商贸有限公司,17.00
930,零食类,2.50,23.81%,1,10.50,4716076571714,西安和天熙商贸有限公司,8.00
931,零食类,2.50,23.81%,1,10.50,4716076571691,西安和天熙商贸有限公司,8.00
932,零食类,5.00,23.81%,2,21.00,4716076571707,西安和天熙商贸有限公司,16.00
933,零食类,2.50,22.73%,1,11.00,4716076571479,西安和天熙商贸有限公司,8.50
934,零食类,7.00,20.00%,2,35.00,6920153606222,西安和天熙商贸有限公司,28.00
935,零食类,3.50,20.00%,1,17.50,6920153606215,西安和天熙商贸有限公司,14.00
936,零食类,24.00,23.08%,2,104.00,9556854006008,西安和天熙商贸有限公司,80.00
937,零食类,3.50,21.88%,1,16.00,4897044643081,西安和天熙商贸有限公司,12.50
938,零食类,40.00,21.74%,16,184.00,6920609900362,西安和天熙商贸有限公司,144.00
939,零食类,23.80,18.06%,2,131.80,6925785605865,西安和天熙商贸有限公司,108.00
