,categoryName,cost,currPrice,productId,productName,serialNum,supplierName,unit
130,零食,14.5,18.0,022496,茱蒂丝柠檬夹心饼170g,9556121022496,西安菲达食品商贸有限公司,袋
131,零食,13.5,18.8,022530,aji榴莲流心酥220g,4894375022530,西安菲达食品商贸有限公司,袋
132,零食,13.5,18.8,022547,aji蛋黄流心酥220g,4894375022547,西安菲达食品商贸有限公司,袋
133,零食,10.0,13.5,023538,燕麦苏打饼干,4713507023538,西安菲达食品商贸有限公司,袋
134,零食,8.8,11.5,024025,茱蒂丝起士三明治135g,9556121024025,西安菲达食品商贸有限公司,袋
135,零食,14.5,18.0,026463,茱蒂丝乳酪夹心饼180g,9556121026463,西安菲达食品商贸有限公司,袋
136,零食,33.0,43.5,027149,茱蒂丝奶油苏打饼500g,9556121027149,西安菲达食品商贸有限公司,袋
137,零食,39.0,52.0,027156,茱蒂丝三明治花生酱饼干540g,9556121027156,西安菲达食品商贸有限公司,袋
138,零食,39.0,52.0,027163,茱蒂丝三明治乳酪饼干504g,9556121027163,西安菲达食品商贸有限公司,袋
139,零食,6.24,8.8,037010,张君雅鸡汁拉面110g,4710199037010,西安菲达食品商贸有限公司,袋
140,零食,12.0,16.0,039375,谷优燕麦饼干玉米265g,8410376039375,西安菲达食品商贸有限公司,袋
141,零食,13.0,17.0,044430,谷优消化饼干400g,8410376044430,西安菲达食品商贸有限公司,袋
142,零食,14.0,19.0,044768,谷优谷物饼干原味216g,8410376044768,西安菲达食品商贸有限公司,袋
143,零食,15.5,21.0,044775,谷优谷物饼干酸奶夹心220g,8410376044775,西安菲达食品商贸有限公司,袋
144,零食,18.5,28.8,049893,谷优葡萄杏子燕麦饼干365g,8410376049893,西安菲达食品商贸有限公司,袋
145,零食,18.0,25.2,051933,谷优芝士咸香饼干250g,8410376051933,西安菲达食品商贸有限公司,袋
146,零食,13.0,17.5,052893,谷优无糖曲奇150g,8410376052893,西安菲达食品商贸有限公司,袋
147,零食,8.5,12.0,058370,螺蛳粉310g,6970434058370,西安菲达食品商贸有限公司,袋
148,零食,25.2,34.0,063835,阿华田芝麻豆浆粉403g,7612100063835,西安菲达食品商贸有限公司,袋
149,零食,13.0,18.0,080244,可意奇全麦松脆饼原味250g,8008620080244,西安菲达食品商贸有限公司,盒
150,零食,13.0,18.0,080251,可意奇全麦松脆饼蔓越莓味250g,8008620080251,西安菲达食品商贸有限公司,盒
151,零食,6.24,8.8,080566,张君雅五香海苔丸子80g,4710199080566,西安菲达食品商贸有限公司,袋
152,零食,6.24,8.8,080597,张君雅酱烧虾拉面饼65g,4710199080597,西安菲达食品商贸有限公司,袋
153,零食,6.24,8.8,085509,张君雅鸡汁点心面100g,4710199085509,西安菲达食品商贸有限公司,袋
154,零食,6.24,8.8,085707,张君雅日式串烧丸子95g,4710199085707,西安菲达食品商贸有限公司,袋
155,零食,6.24,8.8,086506,张君雅巧克力甜甜圈45g,4710199086506,西安菲达食品商贸有限公司,袋
156,零食,6.24,8.8,087701,张君雅辣鸡点心面78g,4710199087701,西安菲达食品商贸有限公司,袋
157,零食,9.5,13.0,092957,EGO灌心饼干巧克力180g,029173092957,西安菲达食品商贸有限公司,袋
158,零食,9.5,13.0,092964,EGO灌心饼干草莓180g,029173092964,西安菲达食品商贸有限公司,袋
159,零食,9.5,13.0,092971,EGO灌心饼干牛奶180g,029173092971,西安菲达食品商贸有限公司,袋
160,零食,9.5,13.0,093145,EGO益果智力动物饼干100g,029173093145,西安菲达食品商贸有限公司,盒
161,零食,8.0,11.5,093329,EGO小鱼图形饼干奶酪140g,029173093329,西安菲达食品商贸有限公司,盒
162,零食,8.0,11.5,093336,EGO小鱼图形饼干烧鸡140g,029173093336,西安菲达食品商贸有限公司,盒
163,零食,8.0,11.5,093343,EGO小鱼图形饼干海苔140g,029173093343,西安菲达食品商贸有限公司,盒
164,零食,9.5,13.0,094241,EGO灌心饼干哈密瓜180g,029173094241,西安菲达食品商贸有限公司,袋
165,零食,36.0,51.0,130037,贝吉榛仁巧克力250g,5413216130037,西安菲达食品商贸有限公司,盒
166,零食,76.0,106.0,130044,贝吉榛仁巧克力500g,5413216130044,西安菲达食品商贸有限公司,盒
167,零食,6.5,9.0,145759,瑞士三角牛奶巧克力35g,76145759,西安菲达食品商贸有限公司,盒
168,零食,40.0,51.0,149669,G7袋装咖啡800g,8935024149669,西安菲达食品商贸有限公司,袋
169,零食,30.0,42.0,200445,克特多纯黑巧克力200g,5410081200445,西安菲达食品商贸有限公司,盒
170,零食,6.0,7.8,200612,番薯青年地瓜干100g,6954003200612,西安菲达食品商贸有限公司,袋
171,零食,26.0,36.5,200933,克特多纯味巧克力150g,5410081200933,西安菲达食品商贸有限公司,盒
172,零食,26.0,36.5,201008,克特多牛奶巧克力150g,5410081201008,西安菲达食品商贸有限公司,盒
173,零食,12.5,17.2,201107,番薯青年倒蒸地瓜干280g,6954003201107,西安菲达食品商贸有限公司,袋
174,零食,4.5,6.5,201299,番薯青年水晶红薯仔150g,6954003201299,西安菲达食品商贸有限公司,
175,零食,4.5,6.5,201305,番薯青年水晶紫薯仔150g,6954003201305,西安菲达食品商贸有限公司,袋
176,零食,8.0,11.6,201312,番薯青年倒蒸地瓜干150g,6954003201312,西安菲达食品商贸有限公司,袋
177,零食,26.0,36.5,201848,克特多黑巧克力150g,5410081201848,西安菲达食品商贸有限公司,盒
178,零食,55.0,78.0,206201,克特多片装牛奶巧克力240g,5410081206201,西安菲达食品商贸有限公司,盒
179,零食,11.0,17.8,220921,菲思图原味薯片160g,9556023220921,西安菲达食品商贸有限公司,盒
180,零食,11.0,17.8,220938,菲思图酸奶洋葱味薯片160g,9556023220938,西安菲达食品商贸有限公司,盒
181,零食,11.0,17.8,220945,菲思图烧烤味薯片160g,9556023220945,西安菲达食品商贸有限公司,盒
182,零食,11.0,17.8,220952,菲思图乳酪味薯片160g,9556023220952,西安菲达食品商贸有限公司,盒
183,零食,11.0,17.8,220969,菲思图香辣味薯片160g,9556023220969,西安菲达食品商贸有限公司,盒
184,零食,11.0,17.8,220976,菲思图番茄味薯片160g,9556023220976,西安菲达食品商贸有限公司,盒
185,零食,12.5,17.5,222215,杰克巧克力威化150g,9556023222215,西安菲达食品商贸有限公司,袋
186,零食,12.5,17.5,222222,杰克威化榛子150g,9556023222222,西安菲达食品商贸有限公司,袋
187,零食,12.5,17.5,222239,杰克花生威化150g,9556023222239,西安菲达食品商贸有限公司,袋
188,零食,12.5,17.5,222246,杰克威化香草150g,9556023222246,西安菲达食品商贸有限公司,袋
189,零食,12.5,17.5,222291,杰克威化牛奶150g,9556023222291,西安菲达食品商贸有限公司,袋
190,零食,12.5,17.5,222529,杰克威化提拉米苏150g,9556023222529,西安菲达食品商贸有限公司,袋
191,零食,18.0,24.0,322296,金语鳕鱼肠原味300g,9588552322296,西安菲达食品商贸有限公司,盒
192,零食,18.0,24.0,322302,金语鳕鱼肠芝士300g,9588552322302,西安菲达食品商贸有限公司,盒
193,零食,18.0,24.0,322494,金语虾肉鱼肠300g,9588552322494,西安菲达食品商贸有限公司,盒
194,零食,11.0,17.8,323723,维趣多糖花饼干225g,8032755323723,西安菲达食品商贸有限公司,袋
195,零食,11.0,17.8,323730,维趣多全麦饼干225g,8032755323730,西安菲达食品商贸有限公司,袋
196,零食,13.0,20.8,323761,维趣多燕麦饼干225g,8032755323761,西安菲达食品商贸有限公司,袋
197,零食,13.0,20.8,323778,维趣多葡萄干燕麦饼干225g,8032755323778,西安菲达食品商贸有限公司,袋
198,零食,7.5,10.9,327550,金语牛肉丸香辣90g,9588552327550,西安菲达食品商贸有限公司,袋
199,零食,7.5,10.9,327567,金语牛肉丸烧烤90g,9588552327567,西安菲达食品商贸有限公司,袋
200,零食,7.5,10.9,328298,金语海参汁捞丸香辣90g,9588552328298,西安菲达食品商贸有限公司,袋
201,零食,7.5,10.9,328304,金语海参汁捞丸烧烤90g,9588552328304,西安菲达食品商贸有限公司,袋
202,零食,7.5,10.9,328311,金语鲍汁捞丸烧烤90g,9588552328311,西安菲达食品商贸有限公司,袋
203,零食,7.5,10.9,328328,金语鲍汁捞丸香辣90g,9588552328328,西安菲达食品商贸有限公司,袋
204,零食,10.92,14.9,330641,ZEK-玉米鳕鱼肠105g,8809420330641,西安菲达食品商贸有限公司,袋
205,零食,31.2,41.0,330658,ZEK玉米鳕鱼肠300g,8809420330658,西安菲达食品商贸有限公司,盒
206,零食,39.0,51.0,330696,ZEK蜂蜜柚子茶1kg,8809420330696,西安菲达食品商贸有限公司,瓶
207,零食,27.0,35.0,330740,ZEK蜂蜜柚子茶580g,8809420330740,西安菲达食品商贸有限公司,瓶
208,零食,10.0,14.0,360028,香蕉片原味100g,4806531360028,西安菲达食品商贸有限公司,袋
209,零食,22.0,29.9,383588,黑美人松露糖果500g,4607134383588,西安菲达食品商贸有限公司,盒
210,零食,10.0,14.0,400276,虾老大鳕鱼皮黑鸭50g,4712847400276,西安菲达食品商贸有限公司,袋
211,零食,10.0,14.0,400283,虾老大鳕鱼皮咸蛋黄50g,4712847400283,西安菲达食品商贸有限公司,袋
212,零食,10.92,14.9,413540,ZEK芝士鳕鱼肠105g袋装,8804007413540,西安菲达食品商贸有限公司,袋
213,零食,31.2,41.0,413557,ZEK-芝士鳕鱼肠300g盒装,8804007413557,西安菲达食品商贸有限公司,盒
214,零食,9.5,13.5,433298,令和北海道海盐小圆饼138g,4713233433298,西安菲达食品商贸有限公司,袋
215,零食,9.5,13.5,433304,令和北海道牛乳小圆饼138g,4713233433304,西安菲达食品商贸有限公司,袋
216,零食,5.2,7.5,449037,御之味特浓牛乳大饼,4712832449037,西安菲达食品商贸有限公司,盒
217,零食,7.0,9.3,449983,牛奶棒棒饼干170g,4712832449983,西安菲达食品商贸有限公司,盒
218,零食,7.0,9.3,449990,羊奶棒棒饼干170g,4712832449990,西安菲达食品商贸有限公司,盒
219,零食,7.8,11.5,453480,杰克威化饼干巧克力100g,9556023453480,西安菲达食品商贸有限公司,袋
220,零食,7.5,9.9,480915,新馋派糕点可可味150g,8936144480915,西安菲达食品商贸有限公司,袋
221,零食,7.5,9.9,480939,新馋派糕点香蕉味150g,8936144480939,西安菲达食品商贸有限公司,袋
222,零食,7.5,9.9,480953,新馋派糕点抹茶150g,8936144480953,西安菲达食品商贸有限公司,盒
223,零食,10.5,13.5,500013,意大利天使面500g,8003477500013,西安菲达食品商贸有限公司,袋
224,零食,26.5,34.0,500033.,阿华田速溶豆浆粉420g,7612100500033,西安菲达食品商贸有限公司,袋
225,零食,10.5,13.5,500037,意大利实心细面500g,8003477500037,西安菲达食品商贸有限公司,袋
226,零食,10.5,13.5,500044,意大利细长面500g,8003477500044,西安菲达食品商贸有限公司,袋
227,零食,9.5,12.5,500501,雄鸡螺丝面500g,8003477500501,西安菲达食品商贸有限公司,袋
228,零食,105.0,136.0,500669,每日坚果750g1,6937043500669,西安菲达食品商贸有限公司,盒
229,零食,105.0,136.0,500683,每日坚果750g2,6937043500683,西安菲达食品商贸有限公司,盒
230,零食,18.72,25.0,552138,福多香兰味蛋糕432kg,9556023552138,西安菲达食品商贸有限公司,包
231,零食,16.0,22.0,556011,KONTI炼乳半球软糖500g,4600495556011,西安菲达食品商贸有限公司,盒
232,零食,7.8,11.5,564599,杰克牛奶威化饼干100g,9556023564599,西安菲达食品商贸有限公司,
233,零食,17.0,23.0,566720,阿孔特威化饼干202g,4600648566720,西安菲达食品商贸有限公司,袋
