,categoryName,cost,currPrice,productId,productName,serialNum,supplierName,unit
99,乳制品类,57.0,68.0,513829,伊利安慕希黄桃燕麦200ml*10,6907992513829,西安腾旺贸易有限公司,提
100,乳制品类,66.0,78.0,514178,伊利安慕希PET原味230ml*10,6907992514178,西安腾旺贸易有限公司,提
101,乳制品类,56.0,68.0,514406,伊利安慕希草莓燕麦,6907992514406,西安腾旺贸易有限公司,提
102,乳制品类,66.0,78.0,514604,伊利安慕希芒果百香果,6907992514604,西安腾旺贸易有限公司,提
103,乳制品类,72.0,88.0,515533,安慕希高端橙+凤梨,6907992515533,西安腾旺贸易有限公司,提
104,乳制品类,65.0,78.0,516691,伊利金典有机脱脂奶250ml,6907992516691,西安腾旺贸易有限公司,盘
105,乳制品类,72.0,88.0,518077,金典蛋白有机纯牛奶,6907992518077,西安腾旺贸易有限公司,提
106,乳制品类,70.0,88.0,518930,伊利安慕希丹东草莓230ml*10,6907992518930,西安腾旺贸易有限公司,提
107,乳制品类,54.0,66.0,518992,伊利安慕希菠萝酸奶205g*12,6907992518992,西安腾旺贸易有限公司,提
108,乳制品类,78.0,96.0,519241,金典娟珊有机奶,6907992519241,西安腾旺贸易有限公司,提
109,乳制品类,12.0,15.5,801807,卡士原味风味发酵乳440g,6924810801807,西安腾旺贸易有限公司,瓶
110,乳制品类,12.0,15.5,801838,卡士0蔗糖风味发酵乳428g,6924810801838,西安腾旺贸易有限公司,瓶
111,乳制品类,23.0,29.6,802033,卡士原态酪乳125g*3,6924810802033,西安腾旺贸易有限公司,盒
116,乳制品类,9.8,12.8,805250,新希望草莓桑椹酸奶370g,6928494805250,西安腾旺贸易有限公司,盒
118,乳制品类,9.8,12.8,805267,新希望黄桃芒果酸奶370g,6928494805267,西安腾旺贸易有限公司,盒
119,乳制品类,23.0,29.9,805274,新希望活润草莓桑果酸奶,6928494805274,西安腾旺贸易有限公司,盒
120,乳制品类,23.0,29.9,805281,新希望活润黄桃芒果酸奶,6928494805281,西安腾旺贸易有限公司,盒
121,乳制品类,20.0,26.9,805441,新希望原味酸牛奶910g,6928494805441,西安腾旺贸易有限公司,盒
122,乳制品类,15.8,19.8,805663,新希望巴氏发酵乳,6928494805663,西安腾旺贸易有限公司,盒
123,乳制品类,15.8,19.8,805717.,新希望巴氏原味浓缩酸奶,6928494805717,西安腾旺贸易有限公司,盒
124,乳制品类,11.5,14.8,806448,新希望低脂蓝莓树莓酸奶370g,6928494806448,西安腾旺贸易有限公司,盒
125,乳制品类,11.5,14.8,806455,新希望低脂牛油果青柠酸奶370g,6928494806455,西安腾旺贸易有限公司,盒
126,乳制品类,10.7,13.8,810007.,卡士餐后一小时250g,6924810810007,西安腾旺贸易有限公司,盒
127,乳制品类,31.0,41.0,810014.,卡士餐后一小时双歧杆菌发酵乳750g,6924810810014,西安腾旺贸易有限公司,盒
128,乳制品类,19.0,24.0,812216,卡士双倍蛋白发酵乳原味128g*3,6924810812216,西安腾旺贸易有限公司,盒
129,乳制品类,19.0,24.0,812223,卡士双倍蛋白发酵乳奇亚籽128g*3,6924810812223,西安腾旺贸易有限公司,盒
130,乳制品类,6.5,8.5,820001,达芬奇纯酸奶0蔗糖135g,6971550820001,西安腾旺贸易有限公司,盒
131,乳制品类,25.0,32.8,820087,达芬奇家庭装原味1kg,6971550820087,西安腾旺贸易有限公司,盒
132,乳制品类,25.0,32.8,820094,达芬奇家庭装西柚1kg,6971550820094,西安腾旺贸易有限公司,盒
133,乳制品类,8.0,10.8,820148,达芬奇原味净酸奶100g*2,6971550820148,西安腾旺贸易有限公司,盒
134,乳制品类,9.0,11.8,820155,达芬奇西柚净酸奶100g*2,6971550820155,西安腾旺贸易有限公司,盒
135,乳制品类,6.7,8.9,820353,达芬奇香草酪布丁135g,6971550820353,西安腾旺贸易有限公司,杯
136,乳制品类,9.5,12.9,820377,达芬奇白桃好满足200g,6971550820377,西安腾旺贸易有限公司,杯
137,乳制品类,9.5,12.9,820384,达芬奇葡萄好满足200g,6971550820384,西安腾旺贸易有限公司,杯
138,乳制品类,6.7,8.9,820391,达芬奇芒果酪布丁135g,6971550820391,西安腾旺贸易有限公司,杯
139,乳制品类,11.5,14.8,820599,一桶纯酸奶340g.,6971550820599,西安腾旺贸易有限公司,盒
140,乳制品类,11.6,14.8,820643,达芬奇优型草莓320g,6971550820643,西安腾旺贸易有限公司,盒
141,乳制品类,11.6,14.8,820650,达芬奇优型黄桃320g,6971550820650,西安腾旺贸易有限公司,盒
142,乳制品类,5.0,6.6,820698,新希望达芬奇五黑酸奶180g,6971550820698,西安腾旺贸易有限公司,盒
143,乳制品类,9.5,12.0,820742,达芬奇草莓好满足200g,6971550820742,西安腾旺贸易有限公司,盒
144,乳制品类,7.5,9.9,820810,达芬奇荔枝布丁酸奶180g,6971550820810,西安腾旺贸易有限公司,盒
145,乳制品类,7.5,9.9,820827,达芬奇草莓布丁酸奶180g,6971550820827,西安腾旺贸易有限公司,盒
146,乳制品类,11.5,14.9,821027,卡士0添加110g*3,6924810821027,西安腾旺贸易有限公司,盒
147,乳制品类,5.0,6.6,821046,新希望达芬奇五红酸奶180g,6971550821046,西安腾旺贸易有限公司,盒
148,乳制品类,10.0,13.0,821107,达芬奇生酪乳原味455g,6971550821107,西安腾旺贸易有限公司,瓶
149,乳制品类,15.2,19.6,821114,新希望达芬奇五黑酸奶180g*3,6971550821114,西安腾旺贸易有限公司,排
150,乳制品类,15.2,19.6,821121,新希望达芬奇五红酸奶180g*3,6971550821121,西安腾旺贸易有限公司,排
