,amount,avgCost,importPrice,serialNum
115,20,37.0,740.0,6957335215026
116,36,22.3,802.8,6957335216016
117,105,21.0,2205.0,6933276212119
118,40,22.8,912.0,6933276212058
119,60,12.1,726.0,6943036809015
120,36,29.5,1062.0,6943036808032
131,30,9.0,270.0,6957258516156
132,30,11.0,330.0,6957258516224
133,30,11.0,330.0,6957258516231
134,20,24.0,480.0,6956432610086
135,20,24.0,480.0,6956432610079
136,16,25.0,400.0,6953042701524
137,16,25.0,400.0,6953042701531
138,16,25.0,400.0,6953042701548
139,20,15.5,310.0,6972500149814
140,36,12.2,439.2,6901715292527
141,36,3.7,133.2,6901715292541
142,60,8.5,510.0,6901715291247
143,60,26.0,1560.0,6952675321123
144,30,18.0,540.0,6936001302949
145,30,18.0,540.0,6936001302963
146,20,15.5,310.0,6972500148121
147,24,7.5,180.0,6926507201327
148,40,46.0,1840.0,8809022200885
149,30,23.0,690.0,6926507202591
150,20,12.5,250.0,6957666000681
151,20,12.5,250.0,6957666000698
152,12,14.5,174.0,6975287200747
153,30,9.0,270.0,6975287200365
154,24,8.5,204.0,6975287200488
155,24,8.5,204.0,6975287200259
156,30,9.0,270.0,6975287200358
157,24,11.0,264.0,6975287200266
158,60,12.0,720.0,6952675390211
159,60,3.5,210.0,6935284415667
160,60,3.5,210.0,6935284415650
170,18,19.0,342.0,6935284415162
171,20,15.0,300.0,6972500140491
172,20,15.0,300.0,6972500140293
173,20,23.5,470.0,4897038895304
174,20,23.5,470.0,4897038895298
175,20,23.5,470.0,4897038895281
176,24,22.0,528.0,4897031353597
187,12,23.0,276.0,6928494805274
188,12,9.8,117.6,6928494805267
189,12,9.8,117.6,6928494805250
190,12,11.6,139.2,6971550820643
191,48,6.5,312.0,6971550820001
192,8,9.0,72.0,6971550820155
193,10,15.8,158.0,6928494805717
194,12,11.6,139.2,6971550820650
195,12,11.5,138.0,6928494806455
196,5,36.0,180.0,6904007602035
197,5,36.0,180.0,6904007602578
198,10,66.0,660.0,6907992514604
199,15,66.0,990.0,6907992514178
200,16,57.0,912.0,6907992513829
201,10,48.0,480.0,6970037312114
202,18,40.0,720.0,6970037312640
203,5,36.0,180.0,6904007605920
204,60,7.3,438.0,6904007605050
205,30,38.0,1140.0,6904007606606
206,10,65.0,650.0,6907992516691
207,6,33.5,201.0,6904007606569
208,6,70.0,420.0,6907992518930
219,90,50.0,4500.0,6923644266318
220,12,16.5,198.0,6970339116557
232,24,7.5,180.0,6970618570070
233,19,7.5,142.5,6970618570162
234,9,24.0,216.0,6970618570193
235,12,22.0,264.0,6970618570414
236,96,3.5,336.0,6970339117097
237,20,5.8,116.0,6970339117646
238,20,5.8,116.0,6970339117639
239,12,20.0,240.0,6970339117677
240,96,3.0,288.0,6970339117233
241,96,3.8,364.8,6970339116120
242,30,5.8,174.0,6970339116588
243,96,2.8,268.8,6970339116144
244,96,3.8,364.8,6970339116137
245,20,5.8,116.0,6970339117653
246,6,28.0,168.0,6970618570698
247,24,7.5,180.0,6932365575104
248,24,7.5,180.0,6932365575111
