,serialNum,sumAmount,sumTotal
306,6920319827799,13,89.70
307,6930305500049,8,174.40
308,6942032700050,26,338.00
309,6955381400700,6,39.00
310,6955381400601,26,169.00
311,6942032700098,5,79.50
312,6942032700029,58,922.20
313,6942032700067,31,403.00
314,6920143500509,17,79.90
315,6936749501116,9,106.20
316,6936749501109,17,200.60
317,6947769900766,23,266.80
318,6947769901008,12,129.60
319,6902007115180,1,9.20
320,6933453800078,17,289.00
321,6970470758319,24,141.60
322,6922848608894,2,12.60
323,6922848608870,2,12.60
324,6930628801304,9,94.50
325,6921804700757,12,138.00
326,6921804700184,8,88.00
327,6922824000643,29,333.50
328,6918678310014,4,42.00
337,4893888001575,17,144.50
338,6922824055063,14,106.40
339,6922824075016,6,75.00
340,6922824055018,11,110.00
341,4893888001360,5,49.50
342,6922824001329,2,23.00
343,6918678423035,9,130.50
344,6901377002502,14,98.00
345,6909689901483,15,202.50
346,6924116188879,6,35.40
347,6924116170010,4,23.60
348,6936072100154,2,17.60
349,6936072100468,5,35.00
350,6936072100871,4,139.60
351,6936072100369,3,28.50
352,6939044610002,7,87.50
353,6922877745508,8,264.00
354,6922130101485,45,472.50
355,6922130118483,20,330.00
356,6972559820108,8,54.40
357,6944296500049,8,22.40
358,6906303002441,12,102.00
359,6906303004612,44,286.00
360,6906303004469,20,90.00
361,6906303004476,56,308.00
362,6906303888908,24,108.00
363,6906303004605,8,44.00
364,6906303004643,6,24.00
365,6906303888885,109,490.50
374,6906303002434,8,132.00
375,6907592001429,4,11.20
376,6901754040936,43,193.50
377,6901754150505,58,127.60
378,6928454900087,35,297.50
379,6972011732017,9,115.20
380,6935953399991,16,238.40
381,6935953399984,9,130.50
382,6921204802204,7,54.60
383,6920633801048,7,10.50
384,6942046300017,19,38.00
385,6942046300055,21,42.00
386,6922165900787,4,38.00
387,6922165900770,5,54.50
390,6933276212058,94,2538.00
391,6933276212119,123,3075.00
394,6975915740027,6,238.80
395,6975915740010,10,167.00
396,6975915740058,19,190.00
397,6975915740065,87,217.50
398,6975915740034,22,220.00
399,6975915740041,21,210.00
402,6943036809015,22,325.60
411,6957335216023,21,562.80
412,6957335213015,30,774.00
413,6943036808032,46,1651.40
414,6943036812046,2,158.00
415,6957335207168,6,142.80
416,6957335215026,12,547.20
418,6901715291247,27,251.10
419,6901715292527,11,154.00
420,6901715292541,4,17.20
421,6954434300851,5,540.00
422,6931051900893,8,304.00
423,6921774200639,30,414.00
424,6921774286305,4,55.20
425,6921774271561,9,124.20
426,6921774271622,14,193.20
427,6921774271547,17,234.60
428,6921774297066,5,69.00
429,6919892634603,9,146.70
430,6937962130121,3,13.20
431,6921774214070,2,8.80
432,6937962134389,1,4.40
433,6920731700106,8,128.00
434,6920731700205,5,80.00
435,6920731703305,4,64.00
436,6919892634108,9,146.70
437,6921774297028,1,4.40
438,6921774242714,7,30.80
439,6921774241540,4,17.60
448,6923250611281,5,97.50
449,6923250611267,7,136.50
450,6923250642193,3,58.50
451,3800014288381,9,256.50
452,6970870270640,9,89.10
453,6970870270671,9,89.10
454,6970870270664,9,89.10
455,6970870270657,10,99.00
456,6970870270947,12,138.00
457,6970870272231,23,342.70
458,6970870270152,2,35.20
459,6970870270015,1,17.60
460,6970870270961,20,230.00
462,6974613130109,2,57.00
463,6974613130055,1,9.90
464,6974613130383,4,220.00
465,6974613130086,4,39.60
466,6974613130376,1,55.00
467,6974613130062,20,198.00
468,6974613130314,3,165.00
469,6974613130079,12,118.80
470,6974613130345,7,385.00
473,4000417932006,14,378.00
474,8003477500037,1,13.50
475,8003477500013,3,40.50
485,4897031350015,1,50.00
486,4000417933003,3,81.00
489,6971893820010,33,1221.00
490,6943890900477,8,312.00
491,6973669041100,9,157.50
492,6924750000995,1,17.50
493,6974739650178,9,1440.00
494,6954808610302,8,340.80
495,6954808610319,16,681.60
496,6954808612139,2,85.20
497,6954808612351,3,142.50
498,6974622050009,5,1290.00
499,6972251252245,17,663.00
500,6972251252856,2,86.00
501,6974622051433,4,396.00
502,6949884200547,8,150.40
503,6970010925010,12,358.80
504,6970525359362,13,1794.00
505,6970525359997,13,647.40
506,6970525356309,15,2370.00
507,6970525358211,12,837.60
508,6975235721362,5,265.00
509,6975471520019,49,6321.00
510,6971680630969,4,114.00
511,6971680630297,6,150.00
512,6970599913842,8,236.00
513,6959540361567,4,79.60
522,6959540368115,19,2242.00
523,6959540361321,9,449.10
524,6975849950004,10,435.00
525,6943890900408,3,208.50
526,6943890900415,5,270.00
527,6948431109968,33,1287.00
528,6940747415115,7,133.00
529,6940747414910,3,67.50
530,6940747410912,14,546.00
531,6940747410813,12,468.00
532,0101020211012,14,672.00
534,8881300003388,2,396.00
535,6970228680121,23,455.40
536,6901333110524,4,107.20
537,6904432800440,7,147.00
538,6904432832038,2,44.00
539,6905014301263,11,475.20
540,6905014301287,11,475.20
541,6905014301270,8,345.60
542,6905014000548,2,67.00
543,6905014081288,18,504.00
544,6905014000876,14,259.00
545,6904555694315,11,176.00
546,6904555694292,6,114.00
547,6904555694278,3,57.00
548,6904555694285,4,76.00
549,6904555694339,4,48.00
550,6904555694322,2,32.00
559,6904555694346,2,24.00
560,6931500340706,9,184.50
561,6931500340904,16,328.00
562,6931500341000,23,471.50
563,6945309351917,8,158.40
565,6913405670317,1,33.80
566,6913405660530,4,62.00
567,6913405760681,2,31.20
568,6913405670553,1,27.80
569,6913405663524,8,200.00
570,6913405663517,5,129.00
571,8996001356500,4,79.60
572,6976488300250,3,59.40
573,6976488300267,10,198.00
574,6939730799967,4,112.80
575,6972933566080,6,63.00
576,6972933566073,8,84.00
577,6972933566097,5,52.50
578,6972933562761,17,195.50
579,6972933565557,5,62.50
580,6972933565540,5,62.50
581,6972933562051,36,324.00
582,6972933562884,19,205.20
583,6972933566226,11,209.00
584,6972933562891,1,10.80
585,6972933561467,13,253.50
586,6972933566035,16,208.00
587,6972933563706,4,78.00
596,4897038896271,16,304.00
597,4897038895861,1,14.50
598,4897038895847,2,29.00
599,4897038895854,1,14.50
600,4897038896288,3,57.00
601,4897038896264,6,114.00
602,4897038895816,11,104.50
603,4897038895809,14,133.00
604,6972535520893,22,171.60
605,6972535520886,28,218.40
606,6972698570100,16,200.00
607,6972698570216,9,89.10
608,6937439920019,1,9.00
609,6937439915084,15,192.00
610,6937439915251,33,422.40
611,6937439915145,1,12.80
612,6937439914988,7,89.60
613,6974176260541,4,54.00
614,6974176260367,10,180.00
615,6974176260176,7,94.50
616,6974176260183,10,145.00
617,6971791203618,26,312.00
618,6971791203557,1,9.00
619,6971791203571,2,18.00
620,6971791203595,3,27.00
621,6971791203588,6,54.00
622,6926507202591,10,290.00
623,6926507201884,3,234.00
624,6926507201327,5,49.50
633,6926507204182,3,89.70
634,6926507203116,1,42.00
635,6926507202836,35,189.00
636,6926507201594,3,144.00
637,6926507201143,1,23.50
638,6926507202430,13,202.80
639,6926507202379,3,82.50
640,6926507202423,4,232.00
641,6926507204991,2,117.60
642,6974432070952,2,139.00
643,6926507299881,13,286.00
644,6974432070853,4,394.00
645,6926507204342,1,29.90
646,6974432070938,1,23.50
647,6926507202300,12,420.00
648,4897045427802,5,60.00
649,4897045427772,4,48.00
650,4897031353603,5,140.00
651,4897031352385,14,511.00
652,4897031353597,6,168.00
653,4897031352422,10,365.00
654,4897031352446,9,328.50
655,4897031353610,1,28.00
656,4897031352477,2,73.00
657,8996001303481,4,60.00
658,9588552312266,3,73.50
659,9588552337474,2,29.00
660,9588552304506,18,464.40
661,9588552329103,2,36.00
670,9588552334954,3,58.50
671,9588552334961,1,19.50
672,9588552334978,2,39.00
673,9588552337542,2,36.00
674,9588552338389,3,57.00
675,9588552302854,12,348.00
676,9588552335555,7,84.00
677,9588552337528,32,576.00
678,9588552335135,24,432.00
679,9588552335128,25,450.00
680,9588552302861,3,87.00
681,9588552337498,13,513.50
682,9588552322821,9,144.00
683,9588552305312,7,174.30
684,9588552314338,3,47.70
685,9588552337450,24,348.00
686,9588552333902,2,29.00
687,9588552333896,2,29.00
688,9588552305725,5,100.00
689,9588552334251,2,30.00
690,9588552334268,5,75.00
691,9588552334244,2,30.00
692,9588552322692,11,148.50
693,9588552322708,15,202.50
694,9588552312259,3,73.50
695,9588552314123,5,79.50
696,9588552320360,1,28.20
697,9588552332912,15,247.50
698,6952675390211,36,540.00
707,6952675340735,13,234.00
708,6952675337735,23,303.60
709,6952675329938,24,396.00
710,6952675329921,35,822.50
711,6952675321123,36,1144.80
712,6952675319915,16,259.20
713,6952675311315,11,178.20
714,6971827490623,2,27.00
715,4897082059974,7,52.50
716,4897082059998,10,75.00
717,6953042701548,1,33.00
718,6953042701531,1,33.00
719,4014400400007,2,55.00
720,653314503486,8,142.40
721,653314503493,9,160.20
722,6970631040109,10,179.00
723,6970631040123,16,286.40
724,6970631040130,5,89.50
725,8000380140565,1,24.00
726,8000380005963,6,144.00
727,8000380005918,2,48.00
728,6922621132783,16,104.00
729,6972508380738,2,30.00
730,6972508380417,4,60.00
731,6972508380615,1,15.00
732,6975048660827,1,19.50
733,6975048660810,3,58.50
734,6975048660834,18,531.00
735,6973968810094,8,136.00
744,6973968810988,19,323.00
745,6973968810063,19,646.00
746,6941174499617,6,93.00
747,6941174499631,6,93.00
748,6941174497156,8,86.40
749,6941174497149,12,129.60
750,6941174497026,3,147.00
751,6941174497033,4,196.00
752,6947705607896,1,14.00
753,6947705607889,1,14.00
754,6947705607919,1,14.00
755,6947705608107,4,143.20
756,6975475660254,20,178.00
757,6941025701999,14,175.00
758,6941025701968,15,187.50
759,6941025701975,3,37.50
760,6975287200020,23,386.40
761,6901333980196,6,180.00
762,4014400924268,7,349.30
763,4014400470055,4,552.00
764,6975035340015,1,25.00
765,6935036401603,7,157.50
766,6935036401597,6,153.00
767,6935036401580,10,240.00
768,6935036401849,5,67.50
769,6935036401832,6,81.00
770,6935036401306,13,169.00
771,6974856040098,22,660.00
772,6974856040081,22,660.00
781,4897038890972,14,333.20
782,4897038890965,11,261.80
783,4897038894598,9,175.50
784,4897038894604,2,39.00
785,4897038892327,7,124.60
786,4897038892303,4,71.20
787,4897038892365,10,150.00
788,4897038892372,7,105.00
789,4897038893379,10,115.00
790,4897038893362,6,69.00
791,4897038892761,5,57.50
792,4897038892754,22,253.00
793,4897038894871,1,19.50
794,8809022200885,14,819.00
795,6971657870503,12,222.00
796,6971657870893,13,240.50
797,6971657870343,11,203.50
798,6971426300491,8,66.40
799,6971426300477,35,290.50
800,4897076061167,2,27.80
801,4897076061181,9,125.10
802,9555118659523,4,48.00
803,9555118659530,6,72.00
804,6971992140019,2,25.80
805,4897076062379,2,27.60
806,4897076062393,4,55.20
807,6904432813037,3,66.00
808,6905014000081,2,67.00
809,6905014000890,9,252.00
818,6973768111179,8,222.40
819,6956432610079,1,29.80
820,4897119860832,9,135.00
821,4897119860825,8,120.00
822,4710484398970,1,17.00
823,4979365122725,6,178.80
824,6971062129289,8,310.40
825,6971062129296,2,77.60
826,4979365122732,4,119.20
827,6971062128855,4,196.00
828,4979365122718,2,59.60
829,6975840950034,1,15.00
830,6975840950058,4,60.00
831,6975840950041,4,60.00
832,6975840950089,6,96.00
833,6975840950096,4,64.00
834,6975840950065,1,31.80
835,6975840950072,1,31.80
836,6970480320292,23,1817.00
837,6948042400034,15,1260.00
838,6948042403929,16,1344.00
839,6948042400027,21,1467.90
842,6921555521236,19,703.00
844,8412253001437,7,1533.00
845,6909931264151,2,196.00
846,6926650313151,1,86.00
855,6926650331483,2,156.00
856,6926650331469,1,189.00
859,6926410320214,12,72.00
860,6926410321501,17,102.00
861,6926410330954,10,60.00
862,6971885311816,7,145.60
863,6971885311830,1,20.80
864,6971885311892,2,41.60
865,6971284201244,16,203.20
866,6971284201206,16,203.20
867,6971284201220,22,195.80
868,6941541006349,3,22.50
869,6941541002068,4,23.60
870,6941541002099,2,11.80
871,6941541005236,5,37.50
872,6941541002129,3,17.70
873,6941541005175,2,11.80
874,6941541002655,1,7.50
875,6972779770023,5,62.50
876,6972779770016,47,587.50
877,6971807592699,15,292.50
878,6971807593382,23,448.50
879,6971807593764,18,351.00
880,6973559802309,1,16.50
881,6920509001251,12,273.60
882,6920509001404,24,876.00
892,8859015700168,234,1801.80
893,6937003701341,5,44.00
894,6936571950052,133,332.50
895,6922255447833,62,148.80
896,6903004568658,12,50.40
897,6903004568511,289,693.60
898,6974906990595,5,27.00
899,6974906990588,5,27.00
900,6974800840286,26,117.00
901,6974800840330,4,18.00
902,6970399927247,33,207.90
903,6970399922365,67,435.50
904,6970399922518,79,513.50
905,6970399922341,24,156.00
906,6921168558025,66,316.80
907,6921168558018,39,187.20
908,6921168558049,240,1152.00
909,6921168596348,54,270.00
910,6921168558032,56,268.80
911,6974878230101,28,162.40
912,6973497200199,5,30.00
913,6973497200212,2,12.00
914,6973497200205,10,60.00
915,6973497200045,10,168.00
916,6973497200052,16,268.80
917,6973497202360,128,742.40
918,6973497202940,59,342.20
919,6973497200311,8,52.00
920,6973497200304,44,286.00
929,6973497200298,3,19.50
930,6973497202346,82,475.60
931,6971836970444,17,163.20
932,6971836970215,10,96.00
933,6973782440347,5,30.00
934,6973782440149,3,18.00
935,6973782440125,6,36.00
936,6972537684784,5,34.50
937,6972537681233,5,34.50
938,6923555210462,12,178.80
939,6923555210479,8,119.20
940,6923555212749,14,208.60
941,6944839992065,14,65.80
942,6954767401836,3,21.00
943,6954767401850,2,14.00
944,6954767401874,3,21.00
945,6972863230105,37,218.30
946,6972863230259,19,108.30
947,8859546600098,4,39.60
948,8855044006684,4,39.60
949,8855044004628,5,49.50
950,6902538004045,22,114.40
951,6902538005141,13,67.60
952,6902538004052,14,72.80
953,6938309700526,32,96.00
954,6971196385179,7,55.30
955,6971196385070,24,189.60
956,6971196385162,23,181.70
957,6973852490005,294,2205.00
966,6921168593804,102,734.40
967,6921168593880,1,7.20
968,6921168594993,88,324.72
969,6921168595167,24,67.20
970,6921168595006,56,206.64
971,6921168511280,108,172.80
972,6921168559176,67,589.60
973,6921168509256,192,326.40
974,6921168594726,4,39.60
975,6921168594733,30,297.00
976,6921168594740,14,138.60
977,6921168500956,33,161.70
978,6921168500970,27,132.30
979,6937003701327,24,211.20
980,6917878036847,1,6.50
981,6917878030623,19,123.50
982,6917878062952,8,49.60
983,4904910060320,3,17.70
984,6943851102674,6,87.00
985,6943851102667,7,101.50
986,6943851102780,3,43.50
987,6972549660134,60,294.00
988,6972549660035,55,412.50
989,6972549660929,22,110.00
990,6972549661254,7,33.60
991,6972549660677,56,280.00
992,6972549660905,56,280.00
993,6972549660097,71,347.90
994,6935498308793,150,735.00
1003,6971836970055,13,128.70
1004,6971836970123,16,158.40
1005,6971836970086,4,39.60
1006,6901818460878,7,87.50
1007,4891028707899,14,133.00
1008,6954767422688,15,72.00
1009,6974348720002,7,55.30
1010,6974348720972,2,11.60
1011,6974348720392,30,237.00
1012,6974348720019,22,173.80
1013,6974348721023,2,11.60
1014,6954767430386,41,102.50
1015,6901347880390,35,521.50
1016,6957735788861,154,739.20
1017,6926892565080,16,67.20
1018,6926892568081,4,16.80
1019,6926892501033,11,46.20
1020,6975131550721,43,1277.10
1021,6975176782460,19,108.30
1022,6970399920439,6,30.00
1023,6970399920415,65,325.00
1024,6975176782477,1,5.70
1025,6970399920118,1,5.70
1026,6970399923096,11,55.00
1027,6970399921092,2,12.60
1030,6911569140158,12,118.80
1031,6911569126411,13,219.70
1040,6924640202225,17,85.00
1041,6911569014145,21,277.20
1042,6911569506848,14,301.00
1043,6911569113497,25,672.50
1044,6911569132313,3,40.50
1045,6911569200289,7,182.00
1046,6911569126398,10,169.00
1047,6911569009943,29,623.50
1048,6911569114456,42,1213.80
1049,6911569145061,28,630.00
1050,6911569202573,6,141.00
1051,6911569011229,1,14.90
1053,6923450662106,21,207.90
1054,4894375022547,5,89.00
1055,4894375011008,25,350.00
1056,4713507008337,2,26.00
1057,4894375022530,5,89.00
1058,4713507008344,2,26.00
1059,4713507023538,1,13.00
1060,029173092964,2,24.00
1061,029173094241,1,12.00
1062,029173092971,2,24.00
1063,029173092957,2,24.00
1064,029173093145,4,48.00
1065,8935024141854,4,52.00
1066,8935024141847,6,78.00
1067,8935024140147,18,234.00
1068,6914973601567,10,169.00
1077,8807920893475,1,50.00
1078,8809420330740,2,68.00
1079,3185610001139,6,66.00
1080,3185610001115,6,66.00
1081,6948939602404,9,116.10
1082,6948939602572,8,94.40
1083,6948939602381,10,129.00
1084,6948939608208,7,90.30
1085,6901845041248,7,55.30
1086,6901845040968,8,63.20
1087,6901845040692,5,39.50
1088,6901845040685,1,7.90
1089,6901845040951,7,55.30
1090,6923668390075,17,215.90
1091,6923668390181,13,165.10
1092,6918598028105,14,343.00
1093,6937451831256,5,69.00
1094,6937451883088,4,56.00
1095,6937451883118,3,45.00
1096,6937451883248,3,54.00
1097,6937451883231,3,54.00
1098,6914973200685,22,371.80
1099,6914973604223,9,328.50
1100,6914973206106,6,222.00
1101,6914973604278,4,146.00
1102,6914973604230,7,255.50
1103,6914973300828,6,276.00
1104,6931802400078,19,321.10
1105,6931802400047,38,642.20
1114,4897044644613,4,60.00
1115,6923607116667,6,204.00
1116,6923607116629,10,340.00
1117,6954003201299,9,54.00
1118,80050278,116,1136.80
1119,9556023986476,5,120.00
1120,9556023875985,6,144.00
1121,6940188801560,3,36.00
1122,6940188801607,6,78.00
1123,6940188801638,24,312.00
1124,6940188801591,1,13.00
1125,4897025883499,1,30.00
1126,4713507019135,9,91.80
1127,4713507011535,4,40.80
1128,4713507019128,3,30.60
1129,4713507011528,4,40.80
1130,6971284200063,8,319.20
1131,6971284200049,10,399.00
1132,6920907808278,14,63.00
1133,6920907808179,22,99.00
1134,6920907809909,18,153.00
1135,6920907809886,20,170.00
1136,6920907809862,8,68.00
1137,6920907801347,3,64.50
1138,6920771613787,3,255.00
1139,6920771613848,1,71.00
1140,6920771613763,5,475.00
1141,6925843404249,27,202.50
1142,4894375010995,17,238.00
1151,9556023788735,2,21.00
1152,9556023564599,4,42.00
1153,6959629805524,3,63.00
1154,6959629805463,6,126.00
1155,6959629805395,2,15.00
1156,6959629805548,6,126.00
1157,6959629805487,5,105.00
1158,6959629805418,4,30.00
1159,6959629805531,3,63.00
1160,6959629805470,5,105.00
1161,6959629805401,1,7.50
1162,9588552322296,3,69.00
1163,9588552322302,9,207.00
1164,6971529861257,4,52.00
1165,6927682700018,6,76.80
1166,8008620080251,5,87.50
1167,8008620080244,1,17.50
1168,7622400006753,5,145.00
1169,5410081201848,5,175.00
1170,7622400013935,3,93.00
1171,8004583711461,2,30.00
1172,8004583711423,4,60.00
1173,8004583711416,4,60.00
1174,6952480000800,18,428.40
1175,6923976110136,5,64.50
1176,6923976112161,10,129.00
1177,6923976181266,9,116.10
1178,6970209860467,16,272.00
1179,6970209860221,18,306.00
1188,6934364814697,15,285.00
1189,8993175537391,8,116.00
1190,4897025880689,1,32.00
1191,6923228400404,17,391.00
1192,6923228400381,2,36.00
1193,6923228400817,6,138.00
1194,6924187892637,5,475.00
1195,6924187876576,3,128.70
1196,6924187875333,2,72.00
1197,6924187851160,28,249.20
1198,6924187889316,4,116.00
1199,6924187889309,3,87.00
1200,6924187858725,12,534.00
1201,6924187821989,17,270.30
1202,8854761800537,7,106.40
1203,6924187821644,17,236.30
1204,6924187822337,11,209.00
1205,5410291012753,2,58.00
1206,7610400068505,4,296.00
1207,7610400068529,2,148.00
1208,4000417022004,6,117.00
1209,6974900680560,16,624.00
1210,6974900680270,9,873.00
1211,6974900680737,23,1012.00
1212,6925723002411,23,381.80
1213,8002650002177,16,720.00
1214,8002650000807,2,212.00
1215,8002650000784,3,405.00
1216,4715219771608,5,92.50
1225,4715219771615,9,166.50
1226,6901306180714,32,214.40
1227,6901306180738,14,93.80
1228,6901306180707,7,46.90
1229,8851994612012,13,71.50
1230,6926972995219,9,121.50
1231,6926972995226,4,54.00
1232,6926972995202,8,108.00
1233,6972636670244,12,214.80
1234,6972636670237,25,447.50
1235,6972636670213,15,268.50
1236,6909995101676,6,153.00
1237,6909995110326,4,102.00
1238,8032755323730,1,15.00
1239,8032755323761,6,102.00
1240,6959479300422,5,200.00
1241,6959479300439,5,200.00
1242,6926419102323,4,62.00
1243,6926419102330,2,31.00
1244,4712883837876,17,306.00
1245,4712883837883,14,252.00
1246,4712883834264,11,115.50
1247,4712883834257,15,157.50
1248,4712764583595,3,114.00
1249,6924546000802,5,54.50
1250,4897025889453,7,126.00
1251,4897025882539,10,410.00
1252,4897025889460,13,234.00
1253,6920130971879,10,138.00
1262,6920130971886,7,96.60
1263,6920130971107,2,27.60
1264,9555176708478,4,36.80
1265,9555176704500,3,273.00
1266,9555176702926,4,134.00
1267,9555176702889,1,33.50
1268,9555176702896,2,84.00
1269,6948322700519,2,76.00
1270,6920907808537,7,41.30
1271,6920907808612,9,53.10
1272,6920907808575,11,64.90
1273,6923450656181,21,262.50
1274,6923450656150,13,162.50
1275,6923450657935,10,125.00
1276,6923450657638,5,62.50
1277,6923450656860,18,225.00
1278,4716076571738,2,21.00
1279,4716076571745,3,31.50
1280,4716076571769,3,31.50
1281,4716076571462,6,66.00
1282,4716076571455,4,44.00
1283,4716076571714,8,84.00
1284,4716076571691,1,10.50
1285,4716076571707,13,136.50
1286,4716076571479,6,66.00
1287,6920153606222,8,140.00
1288,6920153606215,6,105.00
1289,9556854006039,1,52.00
1290,9556854006008,3,156.00
