,amount,categoryName,currCost,productName,salePrice,serialNum,unit
5415,3.00,零食,13.50,康师傅妙芙香芋蛋糕192g,16.00,6920731703305,盒
5417,79.00,零食,30.00,精品冻干即溶咖啡粉,38.00,6931051900893,盒
5424,136.00,干货,10.00,野森林鹿茸菇50g,13.80,6974919370070,袋
5425,25.00,干货,4.00,野森林水晶粉丝150g,7.60,6974919370087,袋
5426,15.00,干货,16.00,野森林五色糙米1kg,21.30,6974919370254,袋
5427,7.00,干货,31.50,野森林三色藜麦米1kg,41.30,6974919370476,袋
5428,36.00,干货,6.00,手工空心苦荞挂面200g,7.80,6974919371367,袋
5429,40.00,干货,5.50,手工空心挂面200g,7.60,6974919371374,袋
5431,91.00,干货,13.00,阿一波紫菜海苔7枚装,17.60,6926213557985,袋
5432,115.00,干货,20.00,野森林百合188g,26.00,6928710600034,袋
5433,340.00,干货,45.00,野森林香菇300g,54.80,6928710600058,包
5434,55.00,干货,20.00,野森林黄花菜200g,24.80,6928710600065,袋
5435,193.00,干货,18.00,野森林银耳145g,23.00,6928710600072,袋
5436,3.00,干货,18.00,野森林枸杞子160g,23.80,6928710600089,包
5437,34.00,干货,26.00,野森林莲子180g,34.80,6928710600096,袋
5439,10.00,干货,7.50,野森林龙口粉丝400g,8.90,6928710600164,袋
5440,326.00,干货,20.00,绿之林新疆灰枣400g,25.00,6924773600165,袋
5442,12.00,干货,48.00,野森林腰果400g,60.00,6928710600195,袋
5445,28.00,干货,16.00,野森林桂圆450g,18.80,6928710600300,袋
5446,"2,656.00",干货,37.00,野森林木耳300g,49.50,6928710600362,包
5447,863.00,干货,22.00,野森林腐竹500g,28.50,6928710600485,包
5448,12.00,干货,15.00,野森林干坛紫菜60g,18.50,6928710600980,袋
5450,7.00,干货,6.00,野森林虾片208g,7.50,6928710601215,包
5451,22.00,干货,8.50,野森林厥根粉丝400g,13.00,6928710601222,包
5452,279.00,干货,52.00,野森林新疆大枣1000g,67.50,6928710601512,包
5454,170.00,干货,33.00,森林味道核桃680g,45.00,6928710601611,袋
5458,423.00,干货,56.00,野森林美国大杏仁500g,73.00,6928710601703,袋
5459,457.00,干货,54.00,野森林碧根果500g,73.00,6928710601741,袋
5460,199.00,干货,41.00,野森林巴达木500g,53.00,6928710601758,袋
5461,17.00,干货,65.00,野森林开口松子500g,79.90,6928710601765,袋
5462,7.00,干货,65.00,野森林开心果500g,79.90,6928710601772,袋
5465,636.00,干货,52.00,长白山秋木耳150g,64.80,6928710601925,袋
5469,6.00,干货,15.00,野森林有机紫菜45g,19.50,6928710602052,袋
5470,224.00,干货,50.00,米脂小米2.5kg,62.50,6928710602212,袋
5472,545.00,干货,45.00,森林味道木耳280g,57.90,6928710602304,袋
5473,36.00,干货,29.00,野森林茶树菇150g,39.00,6928710609075,袋
5474,23.00,干货,37.00,野森林竹荪50g,49.00,6928710609082,袋
5475,24.00,干货,7.00,野森林海带丝50g,9.90,6928710609174,袋
5476,93.00,干货,48.00,野森林黑枸杞188g,66.50,6928710609204,瓶
5477,159.00,干货,14.00,野森林玫瑰花100g,19.90,6928710609228,瓶
5478,130.00,干货,9.50,野森林干柠檬片50g,12.90,6928710609235,瓶
5479,27.00,干货,35.00,绿芝林秋木耳180g,45.00,6924773610010,袋
5480,191.00,干货,11.50,野森林黑芝麻罐装238g,15.70,6928710660052,袋
5481,1.00,干货,48.00,野森林罐装开心果350g,64.90,6928710660069,袋
5482,265.00,干货,38.00,野森林碧根果350g,51.00,6928710660076,袋
5483,297.00,干货,33.00,野森林罐装巴旦木350g,46.00,6928710660083,袋
5484,14.00,干货,62.00,野森林罐装松子450g,81.00,6928710660090,袋
5485,276.00,干货,58.00,野森林罐装杏仁450g,75.00,6928710660106,袋
5486,308.00,干货,21.00,野森林葡萄干450g,28.00,6928710660113,袋
5488,9.00,干货,33.00,野森林夏威夷果350g,46.00,6928710660144,袋
5496,3.00,干货,5.20,龙须龙口火锅伴侣200g,7.50,6942848800050,包
5498,2.00,调料,7.00,王致和大块腐乳340g,8.80,6907592000026,瓶
5499,8.00,调料,7.00,王致和玫瑰腐乳340g,8.80,6907592000033,瓶
5500,45.00,调料,7.00,王致和红辣腐乳340g,8.80,6907592000040,瓶
5501,20.00,调料,5.90,王致和精制料酒500ml,7.00,6907592001245,瓶
5502,38.00,调料,5.90,王致和葱姜料酒500ml,7.50,6907592001948,瓶
5503,7.00,调料,9.00,王致和纯芝麻酱225g,12.80,6907592002013,瓶
5505,74.00,调料,6.00,王致和白腐乳240g,7.90,6907592007056,瓶
5507,132.00,调料,1.30,海藻盐350G,1.80,6926198012233,袋
5508,641.00,调料,3.00,雪天低钠盐350g,5.00,6956064018670,袋
5509,2.00,调料,1.20,雪天加碘盐400g,2.00,6956064018861,袋
5510,35.00,调料,11.00,窝窝醪糟600g,13.90,6924115086107,瓶
5511,5.00,调料,8.00,海天红烧酱油500ml,10.50,6902265107057,瓶
5512,5.00,调料,13.50,梅林午餐肉340g,16.50,6902131110020,盒
5513,43.00,调料,8.50,海天蒸鱼豉油450ml,10.50,6902265111719,瓶
5514,3.00,调料,8.30,海天特级金标生抽500ml,11.00,6902265114321,瓶
5515,10.00,调料,8.50,海天特级一品鲜酱油500ml,11.00,6902265114345,瓶
5516,7.00,调料,9.80,海天特级草菇老抽500ml,14.20,6902265114369,瓶
5517,13.00,调料,8.00,海天特级味级鲜酱油500ml,9.90,6902265114888,瓶
5518,17.00,调料,5.50,海天香醋445ml,6.80,6902265115496,瓶
5519,11.00,调料,8.00,梅林八宝饭350G,12.00,6902131130011,盒
5520,8.00,调料,18.00,梅林精制午餐肉258g,23.20,6902131130882,盒
5521,6.00,调料,9.90,海天味极鲜750ml,11.50,6902265150015,瓶
5522,13.00,调料,6.40,海天鲜味生抽王500ml,8.50,6902265170501,瓶
5528,13.00,调料,19.00,苏伯西红柿蛋花汤80g,24.00,6932583203438,盒
5529,16.00,调料,19.00,苏伯紫菜蛋花汤80g,24.00,6932583206590,盒
