,importPrice,refundAmount,refundPrice,saleAmount,salePrice,saleTotal,serialNum
284,12.50,0,0.00,5,14.90,74.50,6935953399991
285,11.80,0,0.00,3,14.50,43.50,6935953399984
286,1.30,0,0.00,3,1.50,4.50,6920633801048
287,1.60,0,0.00,1,2.00,2.00,6942046300017
288,1.60,0,0.00,9,2.00,18.00,6942046300055
289,8.00,0,0.00,1,10.90,10.90,6922165900770
300,22.80,0,0.00,17,27.00,459.00,6933276212058
301,21.00,0,0.00,47,25.00,1175.00,6933276212119
304,32.00,0,0.00,2,39.80,79.60,6975915740027
305,13.40,0,0.00,4,16.70,66.80,6975915740010
306,8.00,0,0.00,6,10.00,60.00,6975915740058
307,2.00,0,0.00,33,2.50,82.50,6975915740065
308,8.00,0,0.00,5,10.00,50.00,6975915740034
309,8.00,0,0.00,11,10.00,110.00,6975915740041
312,12.10,0,0.00,6,14.80,88.80,6943036809015
313,23.00,0,0.00,8,26.80,214.40,6957335216023
314,21.80,0,0.00,7,25.80,180.60,6957335213015
315,29.50,0,0.00,20,35.90,718.00,6943036808032
316,67.00,0,0.00,1,79.00,79.00,6943036812046
317,37.00,0,0.00,2,45.60,91.20,6957335215026
319,8.50,0,0.00,8,9.30,74.40,6901715291247
320,12.20,0,0.00,3,14.00,42.00,6901715292527
321,89.00,0,0.00,3,108.00,324.00,6954434300851
322,30.00,0,0.00,2,38.00,76.00,6931051900893
323,12.50,0,0.00,4,13.80,55.20,6921774200639
324,12.50,0,0.00,2,13.80,27.60,6921774286305
325,12.50,0,0.00,2,13.80,27.60,6921774271561
326,12.50,0,0.00,4,13.80,55.20,6921774271622
327,12.50,0,0.00,6,13.80,82.80,6921774271547
328,14.00,0,0.00,2,16.30,32.60,6919892634603
337,4.00,0,0.00,2,4.40,8.80,6921774214070
338,13.50,0,0.00,3,16.00,48.00,6920731700106
339,14.00,0,0.00,1,16.30,16.30,6919892634108
340,4.00,0,0.00,4,4.40,17.60,6921774242714
341,4.00,0,0.00,2,4.40,8.80,6921774241540
342,15.80,0,0.00,1,19.50,19.50,6923250611281
343,15.80,0,0.00,2,19.50,39.00,6923250611267
344,15.80,0,0.00,2,19.50,39.00,6923250642193
345,23.20,0,0.00,1,28.50,28.50,3800014288381
346,8.00,0,0.00,6,9.90,59.40,6970870270671
347,8.00,0,0.00,1,9.90,9.90,6970870270664
348,11.90,0,0.00,1,14.90,14.90,6970870272231
349,14.50,0,0.00,1,17.60,17.60,6970870270152
351,8.00,0,0.00,1,9.90,9.90,6974613130086
352,8.00,0,0.00,1,9.90,9.90,6974613130079
353,46.00,0,0.00,2,55.00,110.00,6974613130345
356,17.00,0,0.00,5,27.00,135.00,4000417932006
357,10.50,0,0.00,2,13.50,27.00,8003477500013
