,importAmount,importPrice,postSaleAmount,postSalePrice,preSaleAmount,preSaleCost,preSalePrice,saleAmount,salePrice,serialNum
109,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988006455
110,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988006462
111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878006604
112,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988006790
113,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878006918
114,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988007193
115,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878009193
116,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500009673
117,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500016787
118,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6911988017147
119,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878018324
120,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9004584021896
121,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878024929
122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878024943
123,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878024967
124,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878024981
125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69027086
126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878028606
127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69029097
128,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69029110
129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878037103
130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878037127
131,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878037141
132,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878037189
133,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878043456
134,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80050094
135,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80052487
136,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054012
137,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054029
138,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054043
139,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054050
140,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054074
141,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054081
142,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054098
143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054104
144,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054159
145,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054166
146,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054302
147,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668054357
148,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500066027
149,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958036100666
150,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958036102066
151,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6958036103025
152,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292123501
153,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500126325
154,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500126356
155,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80135906
156,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80177180
157,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80177609
158,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80177616
159,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500180730
160,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668200013
161,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668200303
162,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668200600
163,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901668200624
164,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029201246
165,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029204704
166,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029204735
167,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8000500217511
168,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029218954
169,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029218985
170,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029219012
171,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029219043
172,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029219074
173,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5010029219104
174,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8996001301890
175,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8996001303634
176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8996001303733
177,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8996001353011
178,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6954287500316
179,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6954287500323
180,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6954287500361
181,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6954287500538
182,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6954287500668
183,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839503207
184,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839503283
185,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839503788
186,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839503832
187,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839503948
188,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839504389
189,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839504402
190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839504426
191,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839504747
192,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839504778
193,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6948839504808
194,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973600010
195,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973600041
196,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973600072
197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973600164
198,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973601536
199,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450601822
200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450601990
201,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450603550
202,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450603567
203,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450603574
204,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973604032
205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973604056
206,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973604193
207,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973604216
208,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973604247
209,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6914973604414
210,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450605226
211,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450605295
212,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450605400
213,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450605929
214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450605950
215,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6947929612324
216,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6947929613369
217,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6947929613383
218,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6947929617220
219,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6947929617237
220,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6947929617244
221,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6947929622088
222,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292652384
223,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292652414
224,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292652896
225,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292653138
226,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292653220
227,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4005292654913
228,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450657188
229,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450657607
230,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6927819657666
231,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6927819657680
232,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450657713
233,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450657829
234,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6927819657925
235,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6927819657963
236,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6927819657970
237,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6927819658212
238,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923450670965
239,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700138
240,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700152
241,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700176
242,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700206
243,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700213
244,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700220
245,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700237
246,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700244
247,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700398
248,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700404
249,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6940188802451
250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6940188803984
251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934364807248
252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934364807255
253,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934364807262
254,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6971210810007
255,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6971210810014
256,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6971210810021
257,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6971210810038
258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934364814536
259,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934364814543
260,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934364814550
261,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934364817001
262,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934364817018
263,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934364820124
264,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934364820131
265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934364820162
266,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6931925828100
267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6931925828117
268,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6931925828124
269,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934364830512
270,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6934364830529
271,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6931925871007
272,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6926104922380
273,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6926104922472
274,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6926104930903
275,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6926104930910
276,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6926104930934
277,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6926104930958
278,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6926104931900
279,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6926104931917
280,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6926104931924
281,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6926104931931
282,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6926104931986
283,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6926104931993
284,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878027333
285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878039534
286,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878044859
287,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6917878045115
288,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6970724188886
289,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4052839435184
290,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4052839435382
291,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8436537522159
292,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6922410600363
293,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6922410600370
294,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6922410600356
295,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6901035604895
296,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700015
297,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700046
298,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700053
299,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700060
300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700084
301,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700091
302,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6953042700107
303,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6942401800039
304,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6942401800077
305,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6939354800469
306,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6939354800483
307,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6939354800520
308,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6939354800803
309,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6939354801268
310,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6939354801275
311,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6939354801299
312,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6905028001005
313,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6906303001178
314,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6922824001251
315,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6922824001534
316,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6906303001802
